instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS64:status,PS-PS64:successful_repeats,PS-PS64:result,PSD32:status,PSD32:successful_repeats,PSD32:result,result_match,PS-PS64:matches_reference,PSD32:matches_reference,PS-PS64:wall_vs_Concorde_relative_change,PSD32:wall_vs_Concorde_relative_change,PS-PS64:wall_seconds,PSD32:wall_seconds,relative_change:wall_seconds,PS-PS64:branches,PSD32:branches,relative_change:branches,PS-PS64:nodes_expanded,PSD32:nodes_expanded,PS-PS64:pruned_by_bound,PSD32:pruned_by_bound,PS-PS64:pruned_infeasible,PSD32:pruned_infeasible,PS-PS64:root_potential_iterations,PSD32:root_potential_iterations,PS-PS64:search_node_potential_update_candidates,PSD32:search_node_potential_update_candidates,PS-PS64:search_node_potential_updates_triggered,PSD32:search_node_potential_updates_triggered,PS-PS64:search_node_potential_updates_skipped_total,PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS64:search_node_potential_iterations,PSD32:search_node_potential_iterations,PS-PS64:search_node_potential_updates_skipped_budget_exhausted,PSD32:search_node_potential_updates_skipped_budget_exhausted,PS-PS64:search_node_potential_updates_skipped_depth_interval,PSD32:search_node_potential_updates_skipped_depth_interval,PS-PS64:search_node_potential_updates_skipped_gap_above_maximum,PSD32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS64:search_node_potential_updates_skipped_gap_below_minimum,PSD32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS64:search_node_potential_updates_skipped_invalid_state,PSD32:search_node_potential_updates_skipped_invalid_state,PS-PS64:search_node_potential_updates_skipped_numerically_unsafe,PSD32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS64:search_node_potential_updates_skipped_strategy_none,PSD32:search_node_potential_updates_skipped_strategy_none,PS-PS64:search_node_potential_updates_skipped_update_depth_zero,PSD32:search_node_potential_updates_skipped_update_depth_zero,PS-PS64:search_node_potential_updates_skipped_zero_iteration_limit,PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS64:search_node_potential_updates_skipped_zero_violation,PSD32:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,89.6118300061855,2077.3782175363594,7.141569368541241,163.8073330335319,21.937161929016128,11690.0,217627.0,17.61650983746792,3795.0,58410.0,7993.0,159992.0,0.0,0.0,400.0,400.0,10699.0,206266.0,10635.0,199884.0,64.0,6382.0,98.71875,103185.0,2768550.0,0.0,0.0,0.0,0.0,64.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.4516972664503758,0.7303954487334259,0.14117291569709778,0.09963912516832352,-0.2942050911372379,791.0,338.0,-0.572692793931732,263.0,114.0,533.0,225.0,32.0,39.0,400.0,400.0,730.0,301.0,730.0,301.0,0.0,0.0,0.0,6467.0,4861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,21.761494852824356,7.138679918416139,0.8851622808724642,0.3165017291903496,-0.6424364932513977,2612.0,569.0,-0.7821592649310873,869.0,155.0,1772.0,417.0,0.0,0.0,400.0,400.0,2382.0,470.0,2371.0,460.0,11.0,10.0,-0.09090909090909094,22675.0,6892.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,0.008374896539523391,-0.38866389087210074,0.029727540910243988,0.018022581934928894,-0.3937412452195672,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,56.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,1482.763764600036,77.54542462811818,237.24536114186049,12.558965299278498,-0.9470633894006093,314985.0,10469.0,-0.9667634966744448,100794.0,3313.0,216976.0,7184.0,0.0,0.0,800.0,400.0,293371.0,9361.0,293324.0,9314.0,47.0,47.0,0.0,2685178.0,146917.0,0.0,0.0,0.0,0.0,46.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,318.50262427573995,145.3671086287992,107.36898366175592,49.18672493100166,-0.5418907467173723,126184.0,38620.0,-0.6939390097001205,44575.0,13350.0,82645.0,25404.0,2.0,3.0,400.0,400.0,116138.0,35911.0,116131.0,35904.0,7.0,7.0,0.0,1086697.0,583154.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.46421233626969016,-0.22176388070706932,0.02657904289662838,0.014126893132925034,-0.468495039950552,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,2.7330055911659183,0.06954046778262568,0.031798023730516434,0.009110426530241966,-0.7134907940364001,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,1.3623287397528108,-0.16120637413368277,0.03204263560473919,0.011377399787306786,-0.6449293395321065,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,4.542675399341409,2.363536512494056,0.4264732263982296,0.25880250334739685,-0.3931565047280745,4375.0,1387.0,-0.6829714285714286,1335.0,454.0,3067.0,936.0,4.0,0.0,389.0,323.0,3982.0,1241.0,3651.0,1226.0,331.0,15.0,-0.9546827794561934,29496.0,19427.0,0.0,0.0,0.0,0.0,331.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,29.43844314550333,13.773706407790057,6.131963774561882,2.9762308169156313,-0.5146365950069107,14704.0,4889.0,-0.6675054406964092,5218.0,1679.0,9656.0,3239.0,1.0,0.0,395.0,356.0,13467.0,4521.0,13465.0,4521.0,2.0,0.0,-1.0,128098.0,75446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.019835621721971286,0.3089309464269081,0.030634691938757896,0.04091017507016659,0.3354198289948698,16.0,8.0,-0.5,6.0,4.0,10.0,4.0,0.0,1.0,100.0,100.0,13.0,6.0,13.0,6.0,0.0,0.0,0.0,94.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1629.963132036439,1169.8880507432275,151.7500755507499,108.94320458360016,-0.2820879713686455,801204.0,392606.0,-0.5099799801299045,143666.0,71396.0,658008.0,321356.0,0.0,1.0,800.0,330.0,761556.0,372430.0,639202.0,319738.0,122354.0,52692.0,-0.5693479575657518,2724311.0,1885453.0,0.0,0.0,0.0,0.0,122354.0,52692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,813.1344091596694,2026.9941548851546,383.24016329832375,954.6443466115743,1.49098199519463,291874.0,511863.0,0.7537122182859728,93977.0,151929.0,199496.0,361602.0,0.0,0.0,400.0,400.0,274330.0,484698.0,274327.0,484684.0,3.0,14.0,3.666666666666667,2570687.0,7704730.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,814.1768428308237,339.9390412663066,149.4721113294363,62.51512022316456,-0.581760639713041,275891.0,75304.0,-0.7270516254607797,93599.0,25184.0,183791.0,50375.0,0.0,17.0,400.0,400.0,256049.0,70329.0,256045.0,70066.0,4.0,263.0,64.75,2402306.0,1175808.0,0.0,0.0,0.0,0.0,2.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,190.97008467145048,94.5044835641701,22.889673121273518,11.387536834925413,-0.5025033003052408,42335.0,14960.0,-0.6466280855084445,13263.0,4446.0,29227.0,10544.0,0.0,0.0,372.0,311.0,39616.0,14130.0,39071.0,13973.0,545.0,157.0,-0.7119266055045872,340879.0,203477.0,0.0,0.0,0.0,0.0,545.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
