instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS16:status,PS-PS16:successful_repeats,PS-PS16:result,PS-PS64:status,PS-PS64:successful_repeats,PS-PS64:result,result_match,PS-PS16:matches_reference,PS-PS64:matches_reference,PS-PS16:wall_vs_Concorde_relative_change,PS-PS64:wall_vs_Concorde_relative_change,PS-PS16:wall_seconds,PS-PS64:wall_seconds,relative_change:wall_seconds,PS-PS16:branches,PS-PS64:branches,relative_change:branches,PS-PS16:nodes_expanded,PS-PS64:nodes_expanded,PS-PS16:pruned_by_bound,PS-PS64:pruned_by_bound,PS-PS16:pruned_infeasible,PS-PS64:pruned_infeasible,PS-PS16:root_potential_iterations,PS-PS64:root_potential_iterations,PS-PS16:search_node_potential_update_candidates,PS-PS64:search_node_potential_update_candidates,PS-PS16:search_node_potential_updates_triggered,PS-PS64:search_node_potential_updates_triggered,PS-PS16:search_node_potential_updates_skipped_total,PS-PS64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS16:search_node_potential_iterations,PS-PS64:search_node_potential_iterations,PS-PS16:search_node_potential_updates_skipped_budget_exhausted,PS-PS64:search_node_potential_updates_skipped_budget_exhausted,PS-PS16:search_node_potential_updates_skipped_depth_interval,PS-PS64:search_node_potential_updates_skipped_depth_interval,PS-PS16:search_node_potential_updates_skipped_gap_above_maximum,PS-PS64:search_node_potential_updates_skipped_gap_above_maximum,PS-PS16:search_node_potential_updates_skipped_gap_below_minimum,PS-PS64:search_node_potential_updates_skipped_gap_below_minimum,PS-PS16:search_node_potential_updates_skipped_invalid_state,PS-PS64:search_node_potential_updates_skipped_invalid_state,PS-PS16:search_node_potential_updates_skipped_numerically_unsafe,PS-PS64:search_node_potential_updates_skipped_numerically_unsafe,PS-PS16:search_node_potential_updates_skipped_strategy_none,PS-PS64:search_node_potential_updates_skipped_strategy_none,PS-PS16:search_node_potential_updates_skipped_update_depth_zero,PS-PS64:search_node_potential_updates_skipped_update_depth_zero,PS-PS16:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS64:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS16:search_node_potential_updates_skipped_zero_violation,PS-PS64:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,88.34324252639271,89.6118300061855,7.041585674509406,7.141569368541241,0.014199031106555404,11690.0,11690.0,0.0,3795.0,3795.0,7993.0,7993.0,0.0,0.0,400.0,400.0,10699.0,10699.0,10635.0,10635.0,64.0,64.0,0.0,103185.0,103185.0,0.0,0.0,0.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.2425559158676096,1.4516972664503758,0.12913019955158234,0.14117291569709778,0.09326026125054399,791.0,791.0,0.0,263.0,263.0,533.0,533.0,32.0,32.0,400.0,400.0,730.0,730.0,730.0,730.0,0.0,0.0,0.0,6467.0,6467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,21.230598507559268,21.761494852824356,0.8645164743065834,0.8851622808724642,0.023881333877923572,2612.0,2612.0,0.0,869.0,869.0,1772.0,1772.0,0.0,0.0,400.0,400.0,2382.0,2382.0,2371.0,2371.0,11.0,11.0,0.0,22675.0,22675.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.16080133693049348,0.008374896539523391,0.02474011667072773,0.029727540910243988,0.20159259173653488,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,1475.6390307790784,1482.763764600036,236.10615685023367,237.24536114186049,0.004824966476200121,314985.0,314985.0,0.0,100794.0,100794.0,216976.0,216976.0,0.0,0.0,800.0,800.0,293371.0,293371.0,293324.0,293324.0,47.0,47.0,0.0,2685178.0,2685178.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,316.89184039505034,318.50262427573995,106.82767909951508,107.36898366175592,0.005067081554178454,126184.0,126184.0,0.0,44575.0,44575.0,82645.0,82645.0,2.0,2.0,400.0,400.0,116138.0,116138.0,116131.0,116131.0,7.0,7.0,0.0,1086697.0,1086697.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.46271544379916807,0.46421233626969016,0.0265518706291914,0.02657904289662838,0.0010233654651476964,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.9832131633919783,2.7330055911659183,0.016893159598112106,0.031798023730516434,0.8823017414735146,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.6244253904667034,1.3623287397528108,0.005094295367598534,0.03204263560473919,5.289905333825232,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,4.7023603756336065,4.542675399341409,0.43875995837152004,0.4264732263982296,-0.028003311922294105,4375.0,4375.0,0.0,1335.0,1335.0,3067.0,3067.0,4.0,4.0,389.0,389.0,3982.0,3982.0,3651.0,3651.0,331.0,331.0,0.0,29496.0,29496.0,0.0,0.0,0.0,0.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
