instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,PS32:status,PS32:successful_repeats,PS32:result,result_match,P32:matches_reference,PS32:matches_reference,P32:wall_vs_Concorde_relative_change,PS32:wall_vs_Concorde_relative_change,P32:wall_seconds,PS32:wall_seconds,relative_change:wall_seconds,P32:branches,PS32:branches,relative_change:branches,P32:nodes_expanded,PS32:nodes_expanded,P32:pruned_by_bound,PS32:pruned_by_bound,P32:pruned_infeasible,PS32:pruned_infeasible,P32:root_potential_iterations,PS32:root_potential_iterations,P32:search_node_potential_update_candidates,PS32:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,PS32:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,PS32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,PS32:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,PS32:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,PS32:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,PS32:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,PS32:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,PS32:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,PS32:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,PS32:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,PS32:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,PS32:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,PS32:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.986287841349052,62.45634641773285,0.5506241209805012,5.001310532912612,8.082984820945974,695.0,5866.0,7.440287769784172,154.0,1767.0,548.0,4135.0,0.0,0.0,400.0,400.0,379.0,5237.0,352.0,5173.0,27.0,64.0,1.3703703703703702,5416.0,83688.0,0.0,0.0,0.0,0.0,26.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.0216468982411304,1.4428777835658888,0.11640988104045391,0.1406650748103857,0.20836026592538825,429.0,589.0,0.372960372960373,135.0,193.0,298.0,401.0,51.0,28.0,400.0,400.0,411.0,560.0,411.0,560.0,0.0,0.0,0.0,6174.0,8379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,5.701447384056891,20.680647264276157,0.2606097925454378,0.8431296497583389,2.2352186060366,454.0,1776.0,2.9118942731277535,135.0,539.0,328.0,1246.0,0.0,0.0,364.0,400.0,304.0,1598.0,295.0,1589.0,9.0,9.0,0.0,5287.0,25281.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.40002944279820307,-0.3694601100629924,0.017687518149614334,0.018588721752166748,0.050951388144416576,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,112.01531218836858,2322.534832252743,18.070503670722246,371.5199639964849,19.55946921935662,12407.0,325497.0,25.234948013218343,3833.0,101093.0,8620.0,225821.0,0.0,0.0,400.0,800.0,11445.0,306639.0,11321.0,306574.0,124.0,65.0,-0.47580645161290325,179449.0,4924840.0,0.0,0.0,0.0,0.0,123.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,207.6456273205473,192.70369424037267,70.11544584855437,65.09420330822468,-0.07161392870802408,51113.0,51825.0,0.013929919981218175,17260.0,17522.0,34040.0,34493.0,0.0,1.0,400.0,400.0,47121.0,47995.0,47117.0,47988.0,4.0,7.0,0.75,768553.0,781907.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.16739789131891636,-0.45545395562659896,0.015113769099116325,0.009884845465421677,-0.3459708560719228,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,-0.10659820555259258,-0.5067681556543505,0.007610063999891281,0.004201386123895645,-0.44791711029556824,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,0.05294187035394504,-0.5721941649127129,0.01428210735321045,0.005802759900689125,-0.5937042232507282,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.421143077531925,3.8017710721143825,0.2632349580526352,0.3694654032588005,0.4035575137589589,1203.0,3192.0,1.653366583541147,405.0,897.0,800.0,2298.0,0.0,1.0,334.0,389.0,1124.0,2835.0,1117.0,2504.0,7.0,331.0,46.285714285714285,17868.0,29670.0,0.0,0.0,0.0,0.0,7.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,15.163015358017685,20.97194962708371,3.2561134677380323,4.426349880173802,0.3593966930300847,5119.0,7696.0,0.503418636452432,1765.0,2629.0,3384.0,5107.0,0.0,0.0,319.0,395.0,4732.0,7097.0,4731.0,7094.0,1.0,3.0,2.0,78352.0,116923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.17955172171916423,0.2764946905223815,0.03686647303402424,0.039896391332149506,0.0821862806167799,18.0,12.0,-0.33333333333333337,7.0,4.0,11.0,8.0,1.0,0.0,100.0,100.0,13.0,8.0,13.0,8.0,0.0,0.0,0.0,195.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1134.1473085981813,1635.003104767972,105.61777054145932,152.2190108858049,0.4412253743422152,406666.0,794543.0,0.9537974652417462,74929.0,138796.0,331874.0,655917.0,0.0,0.0,320.0,800.0,384981.0,755865.0,323504.0,630970.0,61477.0,124895.0,1.0315727833173383,1648233.0,2807916.0,0.0,0.0,0.0,0.0,61476.0,124895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
