instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPS32:status,PPS32:successful_repeats,PPS32:result,PS-PS32:status,PS-PS32:successful_repeats,PS-PS32:result,result_match,PPS32:matches_reference,PS-PS32:matches_reference,PPS32:wall_vs_Concorde_relative_change,PS-PS32:wall_vs_Concorde_relative_change,PPS32:wall_seconds,PS-PS32:wall_seconds,relative_change:wall_seconds,PPS32:branches,PS-PS32:branches,relative_change:branches,PPS32:nodes_expanded,PS-PS32:nodes_expanded,PPS32:pruned_by_bound,PS-PS32:pruned_by_bound,PPS32:pruned_infeasible,PS-PS32:pruned_infeasible,PPS32:root_potential_iterations,PS-PS32:root_potential_iterations,PPS32:search_node_potential_update_candidates,PS-PS32:search_node_potential_update_candidates,PPS32:search_node_potential_updates_triggered,PS-PS32:search_node_potential_updates_triggered,PPS32:search_node_potential_updates_skipped_total,PS-PS32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPS32:search_node_potential_iterations,PS-PS32:search_node_potential_iterations,PPS32:search_node_potential_updates_skipped_budget_exhausted,PS-PS32:search_node_potential_updates_skipped_budget_exhausted,PPS32:search_node_potential_updates_skipped_depth_interval,PS-PS32:search_node_potential_updates_skipped_depth_interval,PPS32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS32:search_node_potential_updates_skipped_gap_above_maximum,PPS32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS32:search_node_potential_updates_skipped_gap_below_minimum,PPS32:search_node_potential_updates_skipped_invalid_state,PS-PS32:search_node_potential_updates_skipped_invalid_state,PPS32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS32:search_node_potential_updates_skipped_numerically_unsafe,PPS32:search_node_potential_updates_skipped_strategy_none,PS-PS32:search_node_potential_updates_skipped_strategy_none,PPS32:search_node_potential_updates_skipped_update_depth_zero,PS-PS32:search_node_potential_updates_skipped_update_depth_zero,PPS32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS32:search_node_potential_updates_skipped_zero_iteration_limit,PPS32:search_node_potential_updates_skipped_zero_violation,PS-PS32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.46090673789621206,-0.5210508706051253,0.04829448647797108,0.042906494811177254,-0.11156535786443211,31.0,36.0,0.16129032258064524,11.0,14.0,20.0,22.0,1.0,12.0,100.0,100.0,26.0,29.0,26.0,29.0,0.0,0.0,0.0,409.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.30995310214405036,-0.37395255298626806,0.016458507627248764,0.014932038262486458,-0.09274652352046053,3.0,2.0,-0.33333333333333337,1.0,1.0,2.0,1.0,1.0,3.0,100.0,100.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.16003142668289427,-0.07292797150608443,0.03425774723291397,0.037810223177075386,0.10369846913775715,8.0,10.0,0.25,2.0,3.0,5.0,6.0,1.0,2.0,100.0,100.0,6.0,7.0,6.0,7.0,0.0,0.0,0.0,48.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.3891269183020174,-0.453618103041157,0.03479118086397648,0.031118201091885567,-0.1055721502081578,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.1989000365138054,118282.0,1.0,ok,1,118282.0,ok,1,118282.0,True,True,True,5375.20453608045,5816.980894602173,1069.3272785320878,1157.1966123729944,0.08217253557912474,902147.0,666844.0,-0.26082556390477385,274747.0,222796.0,629778.0,446003.0,0.0,1.0,729.0,400.0,808947.0,616825.0,808908.0,616698.0,39.0,127.0,2.2564102564102564,12751318.0,10318188.0,0.0,0.0,0.0,0.0,38.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.2201997691935873,-0.5046554495059217,0.0707937590777874,0.044969597831368446,-0.3647801950740269,88.0,39.0,-0.5568181818181819,27.0,11.0,61.0,28.0,0.0,0.0,120.0,100.0,81.0,36.0,81.0,36.0,0.0,0.0,0.0,1228.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.464778544502806,-0.12415618470471046,0.012707259505987167,0.0207943357527256,0.6364138737332088,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1344.1061275218076,877.3153951411576,248.83346246741712,162.4810536801815,-0.34702892420886844,184428.0,113490.0,-0.3846379074760883,56123.0,36203.0,128942.0,77705.0,0.0,0.0,400.0,400.0,175536.0,108208.0,173832.0,107863.0,1704.0,345.0,-0.7975352112676056,2714691.0,1751614.0,0.0,0.0,0.0,0.0,1704.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,271.56664336259684,1220.1626618386238,90.73371335677803,406.5083737112582,3.48023517028129,50100.0,205249.0,3.096786427145709,15092.0,62794.0,35171.0,143090.0,0.0,0.0,400.0,400.0,47921.0,196919.0,47517.0,196798.0,404.0,121.0,-0.7004950495049505,741158.0,3116069.0,0.0,0.0,0.0,0.0,404.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.5807154384204738,-0.16440210125926968,0.018154075369238853,0.03617950342595577,0.9929135849716741,3.0,5.0,0.6666666666666667,1.0,1.0,2.0,4.0,0.0,0.0,100.0,100.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
