instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PSD-PSD64:status,PSD-PSD64:successful_repeats,PSD-PSD64:result,hybrid-reverse:status,hybrid-reverse:successful_repeats,hybrid-reverse:result,result_match,PSD-PSD64:matches_reference,hybrid-reverse:matches_reference,PSD-PSD64:wall_vs_Concorde_relative_change,hybrid-reverse:wall_vs_Concorde_relative_change,PSD-PSD64:wall_seconds,hybrid-reverse:wall_seconds,relative_change:wall_seconds,PSD-PSD64:branches,hybrid-reverse:branches,relative_change:branches,PSD-PSD64:nodes_expanded,hybrid-reverse:nodes_expanded,PSD-PSD64:pruned_by_bound,hybrid-reverse:pruned_by_bound,PSD-PSD64:pruned_infeasible,hybrid-reverse:pruned_infeasible,PSD-PSD64:root_potential_iterations,hybrid-reverse:root_potential_iterations,PSD-PSD64:search_node_potential_update_candidates,hybrid-reverse:search_node_potential_update_candidates,PSD-PSD64:search_node_potential_updates_triggered,hybrid-reverse:search_node_potential_updates_triggered,PSD-PSD64:search_node_potential_updates_skipped_total,hybrid-reverse:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PSD-PSD64:search_node_potential_iterations,hybrid-reverse:search_node_potential_iterations,PSD-PSD64:search_node_potential_updates_skipped_budget_exhausted,hybrid-reverse:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD64:search_node_potential_updates_skipped_depth_interval,hybrid-reverse:search_node_potential_updates_skipped_depth_interval,PSD-PSD64:search_node_potential_updates_skipped_gap_above_maximum,hybrid-reverse:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD64:search_node_potential_updates_skipped_gap_below_minimum,hybrid-reverse:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD64:search_node_potential_updates_skipped_invalid_state,hybrid-reverse:search_node_potential_updates_skipped_invalid_state,PSD-PSD64:search_node_potential_updates_skipped_numerically_unsafe,hybrid-reverse:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD64:search_node_potential_updates_skipped_strategy_none,hybrid-reverse:search_node_potential_updates_skipped_strategy_none,PSD-PSD64:search_node_potential_updates_skipped_update_depth_zero,hybrid-reverse:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD64:search_node_potential_updates_skipped_zero_iteration_limit,hybrid-reverse:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD64:search_node_potential_updates_skipped_zero_violation,hybrid-reverse:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.41929117625765355,-0.5467292109735737,0.052022602409124374,0.04060610942542553,-0.21945255437079936,35.0,32.0,-0.08571428571428574,12.0,11.0,23.0,21.0,2.0,0.0,100.0,210.0,28.0,19.0,28.0,19.0,0.0,0.0,0.0,257.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.3223779531580594,-0.27863283452803,0.01616215892136097,0.017205536365509033,0.06455681132853286,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,127.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.5858862261094391,-0.2982100464453783,0.01688944734632969,0.02862219326198101,0.6946790901480273,12.0,11.0,-0.08333333333333337,3.0,3.0,8.0,6.0,1.0,3.0,100.0,125.0,10.0,8.0,10.0,8.0,0.0,0.0,0.0,64.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.127651021110316,-0.47719920383352976,0.04968307167291641,0.029775181785225868,-0.4006976464489186,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.31793155566259157,-0.25515462833497404,0.06192122958600521,0.067620400339365,0.09203904366020321,71.0,36.0,-0.49295774647887325,21.0,11.0,50.0,25.0,2.0,1.0,100.0,190.0,60.0,30.0,60.0,30.0,0.0,0.0,0.0,557.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,0.0828165804346177,-0.6537369980169335,0.02570829540491104,0.008220996707677841,-0.6802200776754965,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,319.03731713371747,1156.2084709906856,106.53605238720775,385.2188969478011,2.615854805166932,78972.0,185347.0,1.3469964037886846,25409.0,57361.0,54042.0,128620.0,0.0,0.0,400.0,616.0,75665.0,178853.0,75645.0,178817.0,20.0,36.0,0.8,703004.0,2871263.0,0.0,0.0,0.0,0.0,19.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.037369878528987766,-0.08107596292910668,0.04491577483713627,0.03978733718395233,-0.11417898659835113,4.0,6.0,0.5,1.0,1.0,3.0,5.0,0.0,0.0,100.0,201.0,2.0,5.0,2.0,5.0,0.0,0.0,0.0,15.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.3245821767004977,-0.3227350126124129,0.025415806099772453,0.025485314428806305,0.0027348465266452404,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,2380.8376800304413,8.578591819073024,187.724483827129,0.7549365013837814,-0.9959784867376225,344662.0,1014.0,-0.9970579872454752,100105.0,220.0,247287.0,804.0,6.0,6.0,500.0,551.0,324471.0,680.0,318088.0,639.0,6383.0,41.0,-0.9935766880777064,2855700.0,8715.0,0.0,0.0,0.0,0.0,6382.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
