instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPS32:status,PPS32:successful_repeats,PPS32:result,PSD-PSD16:status,PSD-PSD16:successful_repeats,PSD-PSD16:result,result_match,PPS32:matches_reference,PSD-PSD16:matches_reference,PPS32:wall_vs_Concorde_relative_change,PSD-PSD16:wall_vs_Concorde_relative_change,PPS32:wall_seconds,PSD-PSD16:wall_seconds,relative_change:wall_seconds,PPS32:branches,PSD-PSD16:branches,relative_change:branches,PPS32:nodes_expanded,PSD-PSD16:nodes_expanded,PPS32:pruned_by_bound,PSD-PSD16:pruned_by_bound,PPS32:pruned_infeasible,PSD-PSD16:pruned_infeasible,PPS32:root_potential_iterations,PSD-PSD16:root_potential_iterations,PPS32:search_node_potential_update_candidates,PSD-PSD16:search_node_potential_update_candidates,PPS32:search_node_potential_updates_triggered,PSD-PSD16:search_node_potential_updates_triggered,PPS32:search_node_potential_updates_skipped_total,PSD-PSD16:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPS32:search_node_potential_iterations,PSD-PSD16:search_node_potential_iterations,PPS32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD16:search_node_potential_updates_skipped_budget_exhausted,PPS32:search_node_potential_updates_skipped_depth_interval,PSD-PSD16:search_node_potential_updates_skipped_depth_interval,PPS32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD16:search_node_potential_updates_skipped_gap_above_maximum,PPS32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD16:search_node_potential_updates_skipped_gap_below_minimum,PPS32:search_node_potential_updates_skipped_invalid_state,PSD-PSD16:search_node_potential_updates_skipped_invalid_state,PPS32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD16:search_node_potential_updates_skipped_numerically_unsafe,PPS32:search_node_potential_updates_skipped_strategy_none,PSD-PSD16:search_node_potential_updates_skipped_strategy_none,PPS32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD16:search_node_potential_updates_skipped_update_depth_zero,PPS32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD16:search_node_potential_updates_skipped_zero_iteration_limit,PPS32:search_node_potential_updates_skipped_zero_violation,PSD-PSD16:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.46090673789621206,-0.37680370167640576,0.04829448647797108,0.05582882836461067,0.15600832385030716,31.0,35.0,0.12903225806451624,11.0,12.0,20.0,23.0,1.0,2.0,100.0,100.0,26.0,28.0,26.0,28.0,0.0,0.0,0.0,409.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.30995310214405036,-0.31761483719369443,0.016458507627248764,0.016275765374302864,-0.01110320917817309,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.16003142668289427,-0.3228038052354939,0.03425774723291397,0.027619147673249245,-0.19378389111606642,8.0,12.0,0.5,2.0,3.0,5.0,8.0,1.0,1.0,100.0,100.0,6.0,10.0,6.0,10.0,0.0,0.0,0.0,48.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.3891269183020174,-0.2987320990093052,0.03479118086397648,0.039939455687999725,0.147976432422674,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.2201997691935873,-0.5188474566659391,0.0707937590777874,0.0436811838299036,-0.3829797372123268,88.0,71.0,-0.19318181818181823,27.0,21.0,61.0,50.0,0.0,2.0,120.0,100.0,81.0,60.0,81.0,60.0,0.0,0.0,0.0,1228.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.464778544502806,-0.11043625500836662,0.012707259505987167,0.02112007513642311,0.6620479912661068,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,271.56664336259684,317.79800257384585,90.73371335677803,106.12350149452686,0.1696148825876218,50100.0,78972.0,0.5762874251497005,15092.0,25409.0,35171.0,54042.0,0.0,0.0,400.0,400.0,47921.0,75665.0,47517.0,75645.0,404.0,20.0,-0.9504950495049505,741158.0,703004.0,0.0,0.0,0.0,0.0,404.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.5807154384204738,-0.05322796665252616,0.018154075369238853,0.04099309258162975,1.2580655719371112,3.0,4.0,0.33333333333333326,1.0,1.0,2.0,3.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.5815692455123966,-0.17904864391812425,0.01574544608592987,0.03089219704270363,0.9619766168650434,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,4.429298292702024,2345.7582653173627,0.42791002430021763,184.95970053598285,431.2397000127692,588.0,344662.0,585.1598639455782,125.0,100105.0,468.0,247287.0,0.0,6.0,400.0,500.0,289.0,324471.0,263.0,318088.0,26.0,6383.0,244.5,4143.0,2855700.0,0.0,0.0,0.0,0.0,26.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.926017851361832,0.7290436315728592,0.11090339720249176,0.09956128522753716,-0.10227019425063899,411.0,438.0,0.06569343065693434,130.0,134.0,284.0,307.0,47.0,47.0,400.0,400.0,376.0,392.0,376.0,392.0,0.0,0.0,0.0,5604.0,3566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,3.144601468262344,7.560373575262826,0.16117767803370953,0.33290079794824123,1.0654274339317422,281.0,791.0,1.814946619217082,76.0,248.0,207.0,555.0,0.0,0.0,364.0,400.0,156.0,654.0,146.0,643.0,10.0,11.0,0.10000000000000009,2603.0,6369.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.21964719187732584,0.08619113809683276,0.023005302995443344,0.03202161379158497,0.3919231491072943,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,83.97295417300754,168.4209581918981,13.586690604686737,27.089444674551487,0.9938221501273434,11187.0,35455.0,2.16930365602932,3401.0,11465.0,7829.0,24235.0,0.0,0.0,400.0,400.0,10312.0,31918.0,10188.0,31872.0,124.0,46.0,-0.6290322580645161,158636.0,290978.0,0.0,0.0,0.0,0.0,123.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
