instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPS32:status,PPS32:successful_repeats,PPS32:result,PPSD32:status,PPSD32:successful_repeats,PPSD32:result,result_match,PPS32:matches_reference,PPSD32:matches_reference,PPS32:wall_vs_Concorde_relative_change,PPSD32:wall_vs_Concorde_relative_change,PPS32:wall_seconds,PPSD32:wall_seconds,relative_change:wall_seconds,PPS32:branches,PPSD32:branches,relative_change:branches,PPS32:nodes_expanded,PPSD32:nodes_expanded,PPS32:pruned_by_bound,PPSD32:pruned_by_bound,PPS32:pruned_infeasible,PPSD32:pruned_infeasible,PPS32:root_potential_iterations,PPSD32:root_potential_iterations,PPS32:search_node_potential_update_candidates,PPSD32:search_node_potential_update_candidates,PPS32:search_node_potential_updates_triggered,PPSD32:search_node_potential_updates_triggered,PPS32:search_node_potential_updates_skipped_total,PPSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPS32:search_node_potential_iterations,PPSD32:search_node_potential_iterations,PPS32:search_node_potential_updates_skipped_budget_exhausted,PPSD32:search_node_potential_updates_skipped_budget_exhausted,PPS32:search_node_potential_updates_skipped_depth_interval,PPSD32:search_node_potential_updates_skipped_depth_interval,PPS32:search_node_potential_updates_skipped_gap_above_maximum,PPSD32:search_node_potential_updates_skipped_gap_above_maximum,PPS32:search_node_potential_updates_skipped_gap_below_minimum,PPSD32:search_node_potential_updates_skipped_gap_below_minimum,PPS32:search_node_potential_updates_skipped_invalid_state,PPSD32:search_node_potential_updates_skipped_invalid_state,PPS32:search_node_potential_updates_skipped_numerically_unsafe,PPSD32:search_node_potential_updates_skipped_numerically_unsafe,PPS32:search_node_potential_updates_skipped_strategy_none,PPSD32:search_node_potential_updates_skipped_strategy_none,PPS32:search_node_potential_updates_skipped_update_depth_zero,PPSD32:search_node_potential_updates_skipped_update_depth_zero,PPS32:search_node_potential_updates_skipped_zero_iteration_limit,PPSD32:search_node_potential_updates_skipped_zero_iteration_limit,PPS32:search_node_potential_updates_skipped_zero_violation,PPSD32:search_node_potential_updates_skipped_zero_violation
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.5815692455123966,-0.4511072985676893,0.01574544608592987,0.020654696971178055,0.3117886186555927,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,4.429298292702024,5.761656648855711,0.42791002430021763,0.5329198185354471,0.2454015757330228,588.0,789.0,0.34183673469387754,125.0,195.0,468.0,604.0,0.0,0.0,400.0,400.0,289.0,417.0,263.0,390.0,26.0,27.0,0.03846153846153855,4143.0,6613.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.926017851361832,1.0286548361477266,0.11090339720249176,0.11681341007351875,0.0532897370153258,411.0,369.0,-0.1021897810218978,130.0,113.0,284.0,258.0,47.0,49.0,400.0,400.0,376.0,343.0,376.0,342.0,0.0,1.0,,5604.0,5109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,3.144601468262344,3.8779305100274932,0.16117767803370953,0.189695805311203,0.17693596052133875,281.0,309.0,0.0996441281138789,76.0,82.0,207.0,233.0,0.0,0.0,364.0,364.0,156.0,179.0,146.0,170.0,10.0,9.0,-0.09999999999999998,2603.0,3030.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.21964719187732584,-0.060815616055802324,0.023005302995443344,0.027687760069966316,0.20353816141654058,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,83.97295417300754,76.64249609832396,13.586690604686737,12.414592178538442,-0.08626813256084442,11187.0,9979.0,-0.10798247966389563,3401.0,2993.0,7829.0,7011.0,0.0,0.0,400.0,400.0,10312.0,9098.0,10188.0,8974.0,124.0,124.0,0.0,158636.0,139975.0,0.0,0.0,0.0,0.0,123.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,243.05685701946433,224.1739842151084,82.01540363952518,75.66980674117804,-0.07737079398203495,66321.0,60544.0,-0.087106647969723,22562.0,20594.0,44039.0,40220.0,1.0,0.0,400.0,400.0,61154.0,55913.0,61147.0,55907.0,7.0,6.0,-0.1428571428571429,993404.0,918774.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.1645070254310621,0.19847595660078987,0.02113865688443184,0.021755276247859,0.029170224333471717,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.1728089895994125,0.641851152837666,0.00999007560312748,0.013985412195324898,0.3999305661857697,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.16011356035241942,0.008241145194139321,0.011392222717404366,0.013675786554813385,0.20044936743734176,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
