instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS32:status,PS-PS32:successful_repeats,PS-PS32:result,PSD-PSD64:status,PSD-PSD64:successful_repeats,PSD-PSD64:result,result_match,PS-PS32:matches_reference,PSD-PSD64:matches_reference,PS-PS32:wall_vs_Concorde_relative_change,PSD-PSD64:wall_vs_Concorde_relative_change,PS-PS32:wall_seconds,PSD-PSD64:wall_seconds,relative_change:wall_seconds,PS-PS32:branches,PSD-PSD64:branches,relative_change:branches,PS-PS32:nodes_expanded,PSD-PSD64:nodes_expanded,PS-PS32:pruned_by_bound,PSD-PSD64:pruned_by_bound,PS-PS32:pruned_infeasible,PSD-PSD64:pruned_infeasible,PS-PS32:root_potential_iterations,PSD-PSD64:root_potential_iterations,PS-PS32:search_node_potential_update_candidates,PSD-PSD64:search_node_potential_update_candidates,PS-PS32:search_node_potential_updates_triggered,PSD-PSD64:search_node_potential_updates_triggered,PS-PS32:search_node_potential_updates_skipped_total,PSD-PSD64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS32:search_node_potential_iterations,PSD-PSD64:search_node_potential_iterations,PS-PS32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD64:search_node_potential_updates_skipped_budget_exhausted,PS-PS32:search_node_potential_updates_skipped_depth_interval,PSD-PSD64:search_node_potential_updates_skipped_depth_interval,PS-PS32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD64:search_node_potential_updates_skipped_gap_above_maximum,PS-PS32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD64:search_node_potential_updates_skipped_gap_below_minimum,PS-PS32:search_node_potential_updates_skipped_invalid_state,PSD-PSD64:search_node_potential_updates_skipped_invalid_state,PS-PS32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD64:search_node_potential_updates_skipped_numerically_unsafe,PS-PS32:search_node_potential_updates_skipped_strategy_none,PSD-PSD64:search_node_potential_updates_skipped_strategy_none,PS-PS32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD64:search_node_potential_updates_skipped_update_depth_zero,PS-PS32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD64:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS32:search_node_potential_updates_skipped_zero_violation,PSD-PSD64:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.5210508706051253,-0.41929117625765355,0.042906494811177254,0.052022602409124374,0.2124645147096087,36.0,35.0,-0.02777777777777779,14.0,12.0,22.0,23.0,12.0,2.0,100.0,100.0,29.0,28.0,29.0,28.0,0.0,0.0,0.0,481.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.37395255298626806,-0.3223779531580594,0.014932038262486458,0.01616215892136097,0.08238129565773522,2.0,3.0,0.5,1.0,1.0,1.0,2.0,3.0,1.0,100.0,100.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.07292797150608443,-0.5858862261094391,0.037810223177075386,0.01688944734632969,-0.5533100329180314,10.0,12.0,0.19999999999999996,3.0,3.0,6.0,8.0,2.0,1.0,100.0,100.0,7.0,10.0,7.0,10.0,0.0,0.0,0.0,81.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.453618103041157,-0.127651021110316,0.031118201091885567,0.04968307167291641,0.5965920242694187,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.5046554495059217,-0.31793155566259157,0.044969597831368446,0.06192122958600521,0.3769576018492251,39.0,71.0,0.8205128205128205,11.0,21.0,28.0,50.0,0.0,2.0,100.0,100.0,36.0,60.0,36.0,60.0,0.0,0.0,0.0,484.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.12415618470471046,0.0828165804346177,0.0207943357527256,0.02570829540491104,0.23631241269831604,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,1220.1626618386238,319.03731713371747,406.5083737112582,106.53605238720775,-0.7379240889564552,205249.0,78972.0,-0.6152380766775964,62794.0,25409.0,143090.0,54042.0,0.0,0.0,400.0,400.0,196919.0,75665.0,196798.0,75645.0,121.0,20.0,-0.8347107438016529,3116069.0,703004.0,0.0,0.0,0.0,0.0,119.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.16440210125926968,0.037369878528987766,0.03617950342595577,0.04491577483713627,0.24147018571053547,5.0,4.0,-0.19999999999999996,1.0,1.0,4.0,3.0,0.0,0.0,100.0,100.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.1348287721410214,-0.3245821767004977,0.03255617991089821,0.025415806099772453,-0.219324682154601,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,60.63379310734367,2380.8376800304413,4.8576660342514515,187.724483827129,37.64499586910294,5915.0,344662.0,57.269146238377004,1737.0,100105.0,4218.0,247287.0,0.0,6.0,400.0,500.0,5210.0,324471.0,5145.0,318088.0,65.0,6383.0,97.2,79837.0,2855700.0,0.0,0.0,0.0,0.0,64.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
