instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPS32:status,PPS32:successful_repeats,PPS32:result,PSD32:status,PSD32:successful_repeats,PSD32:result,result_match,PPS32:matches_reference,PSD32:matches_reference,PPS32:wall_vs_Concorde_relative_change,PSD32:wall_vs_Concorde_relative_change,PPS32:wall_seconds,PSD32:wall_seconds,relative_change:wall_seconds,PPS32:branches,PSD32:branches,relative_change:branches,PPS32:nodes_expanded,PSD32:nodes_expanded,PPS32:pruned_by_bound,PSD32:pruned_by_bound,PPS32:pruned_infeasible,PSD32:pruned_infeasible,PPS32:root_potential_iterations,PSD32:root_potential_iterations,PPS32:search_node_potential_update_candidates,PSD32:search_node_potential_update_candidates,PPS32:search_node_potential_updates_triggered,PSD32:search_node_potential_updates_triggered,PPS32:search_node_potential_updates_skipped_total,PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPS32:search_node_potential_iterations,PSD32:search_node_potential_iterations,PPS32:search_node_potential_updates_skipped_budget_exhausted,PSD32:search_node_potential_updates_skipped_budget_exhausted,PPS32:search_node_potential_updates_skipped_depth_interval,PSD32:search_node_potential_updates_skipped_depth_interval,PPS32:search_node_potential_updates_skipped_gap_above_maximum,PSD32:search_node_potential_updates_skipped_gap_above_maximum,PPS32:search_node_potential_updates_skipped_gap_below_minimum,PSD32:search_node_potential_updates_skipped_gap_below_minimum,PPS32:search_node_potential_updates_skipped_invalid_state,PSD32:search_node_potential_updates_skipped_invalid_state,PPS32:search_node_potential_updates_skipped_numerically_unsafe,PSD32:search_node_potential_updates_skipped_numerically_unsafe,PPS32:search_node_potential_updates_skipped_strategy_none,PSD32:search_node_potential_updates_skipped_strategy_none,PPS32:search_node_potential_updates_skipped_update_depth_zero,PSD32:search_node_potential_updates_skipped_update_depth_zero,PPS32:search_node_potential_updates_skipped_zero_iteration_limit,PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PPS32:search_node_potential_updates_skipped_zero_violation,PSD32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.46090673789621206,-0.5975507053710212,0.04829448647797108,0.036053283140063286,-0.25346999690102223,31.0,27.0,-0.12903225806451613,11.0,9.0,20.0,18.0,1.0,1.0,100.0,100.0,26.0,22.0,26.0,22.0,0.0,0.0,0.0,409.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.30995310214405036,-0.34578041513735625,0.016458507627248764,0.015603980049490929,-0.05192011311785505,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.16003142668289427,-0.4259831787871443,0.03425774723291397,0.023411022499203682,-0.3166210743504182,8.0,15.0,0.875,2.0,5.0,5.0,7.0,1.0,6.0,100.0,100.0,6.0,10.0,6.0,10.0,0.0,0.0,0.0,48.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.3891269183020174,-0.5636107379126205,0.03479118086397648,0.024853767827153206,-0.2856302312840632,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.2201997691935873,-0.411648081177283,0.0707937590777874,0.05341322347521782,-0.2455094323141117,88.0,16.0,-0.8181818181818181,27.0,4.0,61.0,12.0,0.0,0.0,120.0,100.0,81.0,15.0,81.0,15.0,0.0,0.0,0.0,1228.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.464778544502806,-0.7153255804119447,0.012707259505987167,0.006758756935596466,-0.4681184458055647,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1344.1061275218076,6555.453503299446,248.83346246741712,1212.88944667764,3.8743020116776252,184428.0,753303.0,3.0845370551109372,56123.0,241404.0,128942.0,514568.0,0.0,1.0,400.0,400.0,175536.0,715541.0,173832.0,715522.0,1704.0,19.0,-0.988849765258216,2714691.0,11648367.0,0.0,0.0,0.0,0.0,1704.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,271.56664336259684,365.65462809510643,90.73371335677803,122.05431859195232,0.34519258692760846,50100.0,63161.0,0.26069860279441115,15092.0,19479.0,35171.0,43885.0,0.0,0.0,400.0,400.0,47921.0,60283.0,47517.0,60264.0,404.0,19.0,-0.9529702970297029,741158.0,966772.0,0.0,0.0,0.0,0.0,404.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.5807154384204738,-0.2905497150197982,0.018154075369238853,0.030717596411705017,0.6920496245021877,3.0,4.0,0.33333333333333326,1.0,1.0,2.0,3.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.5815692455123966,-0.29049044862174245,0.01574544608592987,0.02669866941869259,0.6956438879524993,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
