instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPSD32:status,PPSD32:successful_repeats,PPSD32:result,PS32:status,PS32:successful_repeats,PS32:result,result_match,PPSD32:matches_reference,PS32:matches_reference,PPSD32:wall_vs_Concorde_relative_change,PS32:wall_vs_Concorde_relative_change,PPSD32:wall_seconds,PS32:wall_seconds,relative_change:wall_seconds,PPSD32:branches,PS32:branches,relative_change:branches,PPSD32:nodes_expanded,PS32:nodes_expanded,PPSD32:pruned_by_bound,PS32:pruned_by_bound,PPSD32:pruned_infeasible,PS32:pruned_infeasible,PPSD32:root_potential_iterations,PS32:root_potential_iterations,PPSD32:search_node_potential_update_candidates,PS32:search_node_potential_update_candidates,PPSD32:search_node_potential_updates_triggered,PS32:search_node_potential_updates_triggered,PPSD32:search_node_potential_updates_skipped_total,PS32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPSD32:search_node_potential_iterations,PS32:search_node_potential_iterations,PPSD32:search_node_potential_updates_skipped_budget_exhausted,PS32:search_node_potential_updates_skipped_budget_exhausted,PPSD32:search_node_potential_updates_skipped_depth_interval,PS32:search_node_potential_updates_skipped_depth_interval,PPSD32:search_node_potential_updates_skipped_gap_above_maximum,PS32:search_node_potential_updates_skipped_gap_above_maximum,PPSD32:search_node_potential_updates_skipped_gap_below_minimum,PS32:search_node_potential_updates_skipped_gap_below_minimum,PPSD32:search_node_potential_updates_skipped_invalid_state,PS32:search_node_potential_updates_skipped_invalid_state,PPSD32:search_node_potential_updates_skipped_numerically_unsafe,PS32:search_node_potential_updates_skipped_numerically_unsafe,PPSD32:search_node_potential_updates_skipped_strategy_none,PS32:search_node_potential_updates_skipped_strategy_none,PPSD32:search_node_potential_updates_skipped_update_depth_zero,PS32:search_node_potential_updates_skipped_update_depth_zero,PPSD32:search_node_potential_updates_skipped_zero_iteration_limit,PS32:search_node_potential_updates_skipped_zero_iteration_limit,PPSD32:search_node_potential_updates_skipped_zero_violation,PS32:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.761656648855711,62.45634641773285,0.5329198185354471,5.001310532912612,8.384733610877994,789.0,5866.0,6.434727503168568,195.0,1767.0,604.0,4135.0,0.0,0.0,400.0,400.0,417.0,5237.0,390.0,5173.0,27.0,64.0,1.3703703703703702,6613.0,83688.0,0.0,0.0,0.0,0.0,26.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.0286548361477266,1.4428777835658888,0.11681341007351875,0.1406650748103857,0.20418601530299862,369.0,589.0,0.5962059620596205,113.0,193.0,258.0,401.0,49.0,28.0,400.0,400.0,343.0,560.0,342.0,560.0,1.0,0.0,-1.0,5109.0,8379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,3.8779305100274932,20.680647264276157,0.189695805311203,0.8431296497583389,3.444640451459396,309.0,1776.0,4.747572815533981,82.0,539.0,233.0,1246.0,0.0,0.0,364.0,400.0,179.0,1598.0,170.0,1589.0,9.0,9.0,0.0,3030.0,25281.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.060815616055802324,-0.3694601100629924,0.027687760069966316,0.018588721752166748,-0.32863035127458895,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,76.64249609832396,2322.534832252743,12.414592178538442,371.5199639964849,28.926070760402826,9979.0,325497.0,31.618198216254136,2993.0,101093.0,7011.0,225821.0,0.0,0.0,400.0,800.0,9098.0,306639.0,8974.0,306574.0,124.0,65.0,-0.47580645161290325,139975.0,4924840.0,0.0,0.0,0.0,0.0,123.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,224.1739842151084,192.70369424037267,75.66980674117804,65.09420330822468,-0.13975988427096542,60544.0,51825.0,-0.14401096723044393,20594.0,17522.0,40220.0,34493.0,0.0,1.0,400.0,400.0,55913.0,47995.0,55907.0,47988.0,6.0,7.0,0.16666666666666674,918774.0,781907.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.19847595660078987,-0.45545395562659896,0.021755276247859,0.009884845465421677,-0.5456345691590805,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.641851152837666,-0.5067681556543505,0.013985412195324898,0.004201386123895645,-0.6995879660021674,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,0.008241145194139321,-0.5721941649127129,0.013675786554813385,0.005802759900689125,-0.5756909573404565,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,1.5771063496356366,3.8017710721143825,0.19829175993800163,0.3694654032588005,0.8632413337514298,940.0,3192.0,2.3957446808510636,315.0,897.0,627.0,2298.0,0.0,1.0,334.0,389.0,861.0,2835.0,853.0,2504.0,8.0,331.0,40.375,13858.0,29670.0,0.0,0.0,0.0,0.0,7.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,13.340336439415749,20.97194962708371,2.888926452025771,4.426349880173802,0.532178113108404,4498.0,7696.0,0.7109826589595376,1588.0,2629.0,2945.0,5107.0,0.0,0.0,319.0,395.0,4127.0,7097.0,4127.0,7094.0,0.0,3.0,,70553.0,116923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.3167424039663138,0.2764946905223815,0.041154319420456886,0.039896391332149506,-0.030566125403645783,16.0,12.0,-0.25,6.0,4.0,10.0,8.0,1.0,0.0,100.0,100.0,13.0,8.0,13.0,8.0,0.0,0.0,0.0,174.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1068.7800510820314,1635.003104767972,99.53578985668719,152.2190108858049,0.5292892245590419,411334.0,794543.0,0.9316249082254324,76131.0,138796.0,335341.0,655917.0,0.0,0.0,320.0,800.0,389194.0,755865.0,327718.0,630970.0,61476.0,124895.0,1.0316058299173663,1759135.0,2807916.0,0.0,0.0,0.0,0.0,61476.0,124895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,394.4947826613981,1163.7092721795607,186.1725574862212,548.2674195356667,1.944942192010466,93072.0,315468.0,2.3895048994326973,29374.0,90312.0,64008.0,226128.0,0.0,0.0,400.0,400.0,89016.0,293001.0,89008.0,293001.0,8.0,0.0,-1.0,1471657.0,4591550.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,146.82055855977077,388.7099577630356,27.104610711336136,71.45783237740397,1.6363718386672015,32195.0,89761.0,1.788041621369778,10985.0,29785.0,21316.0,60222.0,0.0,0.0,372.0,400.0,30241.0,83683.0,30235.0,83680.0,6.0,3.0,-0.5,511029.0,1383685.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,180.6588369797491,126.46193174604754,21.660205053165555,15.19800315797329,-0.29834444684759986,28723.0,21576.0,-0.2488249834627302,8579.0,6504.0,20210.0,15115.0,0.0,0.0,301.0,372.0,26783.0,20325.0,26771.0,19780.0,12.0,545.0,44.416666666666664,396449.0,279851.0,0.0,0.0,0.0,0.0,12.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,116.91503128810304,15.357315665611925,16.61280962266028,2.304549030959606,-0.86127879128789,18227.0,2322.0,-0.8726065726669228,5945.0,728.0,12341.0,1599.0,0.0,0.0,378.0,400.0,17193.0,2091.0,16900.0,2056.0,293.0,35.0,-0.8805460750853242,277246.0,32510.0,0.0,0.0,0.0,0.0,292.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,807.132044138909,356.38233370553644,190.21213672682643,84.11800746619701,-0.5577674016300902,759297.0,624452.0,-0.17759190409023085,155933.0,110762.0,603985.0,513862.0,1340.0,1373.0,729.0,721.0,701783.0,571472.0,611434.0,478280.0,90349.0,93192.0,0.0314668673698657,4394177.0,2065800.0,0.0,0.0,0.0,0.0,90348.0,93192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
