instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS32:status,PS-PS32:successful_repeats,PS-PS32:result,PSD-PSD32:status,PSD-PSD32:successful_repeats,PSD-PSD32:result,result_match,PS-PS32:matches_reference,PSD-PSD32:matches_reference,PS-PS32:wall_vs_Concorde_relative_change,PSD-PSD32:wall_vs_Concorde_relative_change,PS-PS32:wall_seconds,PSD-PSD32:wall_seconds,relative_change:wall_seconds,PS-PS32:branches,PSD-PSD32:branches,relative_change:branches,PS-PS32:nodes_expanded,PSD-PSD32:nodes_expanded,PS-PS32:pruned_by_bound,PSD-PSD32:pruned_by_bound,PS-PS32:pruned_infeasible,PSD-PSD32:pruned_infeasible,PS-PS32:root_potential_iterations,PSD-PSD32:root_potential_iterations,PS-PS32:search_node_potential_update_candidates,PSD-PSD32:search_node_potential_update_candidates,PS-PS32:search_node_potential_updates_triggered,PSD-PSD32:search_node_potential_updates_triggered,PS-PS32:search_node_potential_updates_skipped_total,PSD-PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS32:search_node_potential_iterations,PSD-PSD32:search_node_potential_iterations,PS-PS32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD32:search_node_potential_updates_skipped_budget_exhausted,PS-PS32:search_node_potential_updates_skipped_depth_interval,PSD-PSD32:search_node_potential_updates_skipped_depth_interval,PS-PS32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS32:search_node_potential_updates_skipped_invalid_state,PSD-PSD32:search_node_potential_updates_skipped_invalid_state,PS-PS32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS32:search_node_potential_updates_skipped_strategy_none,PSD-PSD32:search_node_potential_updates_skipped_strategy_none,PS-PS32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD32:search_node_potential_updates_skipped_update_depth_zero,PS-PS32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS32:search_node_potential_updates_skipped_zero_violation,PSD-PSD32:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,60.63379310734367,1872.8457568203637,4.8576660342514515,147.68711168691516,29.40289526813327,5915.0,207045.0,34.00338123415047,1737.0,54916.0,4218.0,152859.0,0.0,0.0,400.0,400.0,5210.0,195490.0,5145.0,189108.0,65.0,6382.0,97.18461538461538,79837.0,2553069.0,0.0,0.0,0.0,0.0,64.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.541978014840164,0.5893396843832026,0.14637143537402153,0.0915168933570385,-0.37476261592170457,576.0,287.0,-0.5017361111111112,190.0,93.0,391.0,197.0,31.0,32.0,400.0,400.0,532.0,260.0,532.0,260.0,0.0,0.0,0.0,8052.0,4050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,21.197272804212673,6.737952344338572,0.8632204849272966,0.30091800168156624,-0.651400763842032,1815.0,512.0,-0.7179063360881544,578.0,135.0,1248.0,380.0,0.0,0.0,400.0,400.0,1651.0,393.0,1642.0,383.0,9.0,10.0,0.11111111111111116,25896.0,5927.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.22615417664415283,0.03828391450215762,0.022813472896814346,0.03060927800834179,0.34171934921035385,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,56.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,2246.6780630562475,112.94983067613659,359.39089936204255,18.21992784552276,-0.9493033132506552,328046.0,15246.0,-0.9535248105448626,100726.0,4754.0,228647.0,10532.0,0.0,0.0,800.0,400.0,308352.0,13725.0,308286.0,13679.0,66.0,46.0,-0.303030303030303,4915569.0,212689.0,0.0,0.0,0.0,0.0,65.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,184.1186538811041,149.60807488116208,62.20919708907604,50.6119033228606,-0.1864241030085877,50032.0,39401.0,-0.21248401023345054,17063.0,13675.0,33171.0,25900.0,4.0,1.0,400.0,400.0,46105.0,36625.0,46098.0,36617.0,7.0,8.0,0.1428571428571428,753302.0,600098.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.29531231930805557,0.7640857242859105,0.02351309359073639,0.03202247992157936,0.361899904749049,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.8054755771076425,2.9574943249742462,0.015379177406430244,0.033710235729813576,1.1919401043984879,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,0.11582027154458752,1.6252523475653171,0.015134990215301514,0.0356089323759079,1.3527555597563041,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,3.793523669698759,2.996987104237735,0.368830818682909,0.3075424525886774,-0.16616931934563306,3285.0,1677.0,-0.4894977168949771,931.0,565.0,2360.0,1115.0,0.0,0.0,389.0,323.0,2968.0,1532.0,2637.0,1516.0,331.0,16.0,-0.9516616314199395,31210.0,24480.0,0.0,0.0,0.0,0.0,331.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,21.376939418411542,9.867416270988006,4.507936928421259,2.189290778711438,-0.5143475134027313,7508.0,3379.0,-0.5499467234949387,2633.0,1162.0,4929.0,2238.0,2.0,0.0,395.0,356.0,6920.0,3063.0,6919.0,3063.0,1.0,0.0,-1.0,116739.0,52164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.4542934619076575,0.053771545886576844,0.045453429222106934,0.032935258001089096,-0.2754065300518501,8.0,12.0,0.5,3.0,6.0,5.0,6.0,0.0,2.0,100.0,100.0,6.0,10.0,6.0,10.0,0.0,0.0,0.0,56.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1695.3367978385259,1095.7270537998095,157.83265248313546,102.04302599094808,-0.3534732871460077,802021.0,381632.0,-0.5241620855314262,140484.0,68484.0,661668.0,313270.0,0.0,1.0,800.0,330.0,762490.0,362244.0,637206.0,309551.0,125284.0,52693.0,-0.5794115768972894,2961931.0,1789169.0,0.0,0.0,0.0,0.0,125283.0,52692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,430.55262800034666,2221.6674832695385,203.14618540368974,1046.283561611548,4.150397284262983,108659.0,575263.0,4.294204805860536,33659.0,177732.0,75347.0,399465.0,0.0,0.0,400.0,400.0,103058.0,546887.0,103058.0,546872.0,0.0,15.0,,1676975.0,8831611.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,297.26191076716356,314.83349286124735,54.68977427855134,57.91172727942467,0.05891326200146585,68354.0,72957.0,0.06734060918161333,23090.0,24363.0,45442.0,48834.0,0.0,14.0,400.0,400.0,63556.0,67837.0,63554.0,67575.0,2.0,262.0,130.0,1055735.0,1131580.0,0.0,0.0,0.0,0.0,2.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,127.05070653219283,113.53353417750412,15.268206087872386,13.656477587297559,-0.10556109154532778,22086.0,17971.0,-0.18631712396993572,6695.0,5460.0,15428.0,12541.0,0.0,0.0,372.0,311.0,20736.0,16968.0,20191.0,16811.0,545.0,157.0,-0.7119266055045872,285061.0,245368.0,0.0,0.0,0.0,0.0,545.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,20.56331799611347,144.09696868746502,3.0380121413618326,20.442417657002807,5.728879512587859,3202.0,23990.0,6.492192379762648,1041.0,7349.0,2169.0,16715.0,0.0,0.0,400.0,400.0,2884.0,22403.0,2848.0,22084.0,36.0,319.0,7.861111111111111,45924.0,345840.0,0.0,0.0,0.0,0.0,34.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,415.19561716207136,174.77852863180937,97.96104264259338,41.37344851531088,-0.5776540612551448,643602.0,47086.0,-0.9268398793042906,116727.0,14849.0,527070.0,32376.0,1372.0,0.0,721.0,394.0,589948.0,44421.0,496768.0,44396.0,93180.0,25.0,-0.9997317020819918,2391216.0,689109.0,0.0,0.0,0.0,0.0,93180.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.681838566413301,1.8792897106855202,0.21661603450775146,0.23256445303559303,0.07362529077814339,60.0,106.0,0.7666666666666666,19.0,35.0,41.0,71.0,0.0,0.0,348.0,307.0,38.0,66.0,38.0,66.0,0.0,0.0,0.0,586.0,1088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,9.779597805023231,15.249879101925078,4.724350785836577,7.121799021959305,0.5074661778524545,4366.0,6326.0,0.44892349977095747,1574.0,2171.0,2795.0,4178.0,0.0,0.0,387.0,349.0,4030.0,5817.0,4030.0,5817.0,0.0,0.0,0.0,66427.0,95247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
