instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPSD32:status,PPSD32:successful_repeats,PPSD32:result,PSD-PSD32:status,PSD-PSD32:successful_repeats,PSD-PSD32:result,result_match,PPSD32:matches_reference,PSD-PSD32:matches_reference,PPSD32:wall_vs_Concorde_relative_change,PSD-PSD32:wall_vs_Concorde_relative_change,PPSD32:wall_seconds,PSD-PSD32:wall_seconds,relative_change:wall_seconds,PPSD32:branches,PSD-PSD32:branches,relative_change:branches,PPSD32:nodes_expanded,PSD-PSD32:nodes_expanded,PPSD32:pruned_by_bound,PSD-PSD32:pruned_by_bound,PPSD32:pruned_infeasible,PSD-PSD32:pruned_infeasible,PPSD32:root_potential_iterations,PSD-PSD32:root_potential_iterations,PPSD32:search_node_potential_update_candidates,PSD-PSD32:search_node_potential_update_candidates,PPSD32:search_node_potential_updates_triggered,PSD-PSD32:search_node_potential_updates_triggered,PPSD32:search_node_potential_updates_skipped_total,PSD-PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPSD32:search_node_potential_iterations,PSD-PSD32:search_node_potential_iterations,PPSD32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD32:search_node_potential_updates_skipped_budget_exhausted,PPSD32:search_node_potential_updates_skipped_depth_interval,PSD-PSD32:search_node_potential_updates_skipped_depth_interval,PPSD32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD32:search_node_potential_updates_skipped_gap_above_maximum,PPSD32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD32:search_node_potential_updates_skipped_gap_below_minimum,PPSD32:search_node_potential_updates_skipped_invalid_state,PSD-PSD32:search_node_potential_updates_skipped_invalid_state,PPSD32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD32:search_node_potential_updates_skipped_numerically_unsafe,PPSD32:search_node_potential_updates_skipped_strategy_none,PSD-PSD32:search_node_potential_updates_skipped_strategy_none,PPSD32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD32:search_node_potential_updates_skipped_update_depth_zero,PPSD32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PPSD32:search_node_potential_updates_skipped_zero_violation,PSD-PSD32:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.761656648855711,1872.8457568203637,0.5329198185354471,147.68711168691516,276.1282030621118,789.0,207045.0,261.41444866920153,195.0,54916.0,604.0,152859.0,0.0,0.0,400.0,400.0,417.0,195490.0,390.0,189108.0,27.0,6382.0,235.37037037037038,6613.0,2553069.0,0.0,0.0,0.0,0.0,26.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.0286548361477266,0.5893396843832026,0.11681341007351875,0.0915168933570385,-0.21655490324749027,369.0,287.0,-0.2222222222222222,113.0,93.0,258.0,197.0,49.0,32.0,400.0,400.0,343.0,260.0,342.0,260.0,1.0,0.0,-1.0,5109.0,4050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,3.8779305100274932,6.737952344338572,0.189695805311203,0.30091800168156624,0.5863186915909875,309.0,512.0,0.6569579288025891,82.0,135.0,233.0,380.0,0.0,0.0,364.0,400.0,179.0,393.0,170.0,383.0,9.0,10.0,0.11111111111111116,3030.0,5927.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.060815616055802324,0.03828391450215762,0.027687760069966316,0.03060927800834179,0.10551658678755049,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,76.64249609832396,112.94983067613659,12.414592178538442,18.21992784552276,0.4676219390452645,9979.0,15246.0,0.5278083976350336,2993.0,4754.0,7011.0,10532.0,0.0,0.0,400.0,400.0,9098.0,13725.0,8974.0,13679.0,124.0,46.0,-0.6290322580645161,139975.0,212689.0,0.0,0.0,0.0,0.0,123.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,224.1739842151084,149.60807488116208,75.66980674117804,50.6119033228606,-0.33114797694707754,60544.0,39401.0,-0.3492170983086681,20594.0,13675.0,40220.0,25900.0,0.0,1.0,400.0,400.0,55913.0,36625.0,55907.0,36617.0,6.0,8.0,0.33333333333333326,918774.0,600098.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.19847595660078987,0.7640857242859105,0.021755276247859,0.03202247992157936,0.4719408550250326,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.641851152837666,2.9574943249742462,0.013985412195324898,0.033710235729813576,1.41038556883453,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,0.008241145194139321,1.6252523475653171,0.013675786554813385,0.0356089323759079,1.6037941023125164,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,1.5771063496356366,2.996987104237735,0.19829175993800163,0.3075424525886774,0.5509593171437601,940.0,1677.0,0.7840425531914894,315.0,565.0,627.0,1115.0,0.0,0.0,334.0,323.0,861.0,1532.0,853.0,1516.0,8.0,16.0,1.0,13858.0,24480.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
