instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPSD32:status,PPSD32:successful_repeats,PPSD32:result,PS-PS16:status,PS-PS16:successful_repeats,PS-PS16:result,result_match,PPSD32:matches_reference,PS-PS16:matches_reference,PPSD32:wall_vs_Concorde_relative_change,PS-PS16:wall_vs_Concorde_relative_change,PPSD32:wall_seconds,PS-PS16:wall_seconds,relative_change:wall_seconds,PPSD32:branches,PS-PS16:branches,relative_change:branches,PPSD32:nodes_expanded,PS-PS16:nodes_expanded,PPSD32:pruned_by_bound,PS-PS16:pruned_by_bound,PPSD32:pruned_infeasible,PS-PS16:pruned_infeasible,PPSD32:root_potential_iterations,PS-PS16:root_potential_iterations,PPSD32:search_node_potential_update_candidates,PS-PS16:search_node_potential_update_candidates,PPSD32:search_node_potential_updates_triggered,PS-PS16:search_node_potential_updates_triggered,PPSD32:search_node_potential_updates_skipped_total,PS-PS16:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPSD32:search_node_potential_iterations,PS-PS16:search_node_potential_iterations,PPSD32:search_node_potential_updates_skipped_budget_exhausted,PS-PS16:search_node_potential_updates_skipped_budget_exhausted,PPSD32:search_node_potential_updates_skipped_depth_interval,PS-PS16:search_node_potential_updates_skipped_depth_interval,PPSD32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS16:search_node_potential_updates_skipped_gap_above_maximum,PPSD32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS16:search_node_potential_updates_skipped_gap_below_minimum,PPSD32:search_node_potential_updates_skipped_invalid_state,PS-PS16:search_node_potential_updates_skipped_invalid_state,PPSD32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS16:search_node_potential_updates_skipped_numerically_unsafe,PPSD32:search_node_potential_updates_skipped_strategy_none,PS-PS16:search_node_potential_updates_skipped_strategy_none,PPSD32:search_node_potential_updates_skipped_update_depth_zero,PS-PS16:search_node_potential_updates_skipped_update_depth_zero,PPSD32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS16:search_node_potential_updates_skipped_zero_iteration_limit,PPSD32:search_node_potential_updates_skipped_zero_violation,PS-PS16:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.5634221594340482,-0.4595030069197057,0.03911067731678486,0.04842023923993111,0.23803121198187305,22.0,48.0,1.1818181818181817,7.0,18.0,15.0,31.0,0.0,2.0,100.0,100.0,18.0,42.0,18.0,42.0,0.0,0.0,0.0,239.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.05677113810373291,-0.28554720894383734,0.02249722369015217,0.017040619626641273,-0.24254566424120338,3.0,2.0,-0.33333333333333337,1.0,1.0,2.0,1.0,1.0,3.0,100.0,100.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.42514663494221305,0.1293087522709011,0.023445140570402145,0.04605835862457752,0.9645162069415352,11.0,10.0,-0.09090909090909094,3.0,3.0,6.0,6.0,4.0,2.0,100.0,100.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,85.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.796202674470476,-0.23425151063626604,0.011606911197304726,0.043611831963062286,2.7574020531137964,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.3095341858634837,-0.44971967014793957,0.06268358044326305,0.04995691403746605,-0.20303030420089552,47.0,86.0,0.8297872340425532,14.0,28.0,33.0,59.0,0.0,0.0,120.0,100.0,44.0,82.0,44.0,82.0,0.0,0.0,0.0,622.0,734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.4872933351252089,-0.20691682786877974,0.01217271201312542,0.018829427659511566,0.5468555930024828,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1349.9951620100796,3976.026216457541,249.92288493923843,735.7168207895011,1.9437753208089346,181331.0,842923.0,3.6485322421428217,55789.0,266389.0,126175.0,582268.0,0.0,1.0,400.0,400.0,172406.0,794139.0,170699.0,793794.0,1707.0,345.0,-0.7978910369068541,2686763.0,7183071.0,0.0,0.0,0.0,0.0,1704.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,330.24310084220025,1657.8528251160444,110.2663047555834,552.2094518914819,4.007961889314337,59460.0,421296.0,6.085368314833501,17996.0,133187.0,41645.0,290578.0,0.0,0.0,400.0,400.0,56929.0,402315.0,56524.0,402195.0,405.0,120.0,-0.7037037037037037,889991.0,3690548.0,0.0,0.0,0.0,0.0,404.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.1409575759812769,-0.4005573772142058,0.03719459846615791,0.025954512879252434,-0.3021967180834725,3.0,5.0,0.6666666666666667,1.0,1.0,2.0,4.0,0.0,0.0,100.0,100.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.4511072985676893,-0.5462923565214293,0.020654696971178055,0.017072906717658043,-0.17341286868154537,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
