instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPS32:status,PPS32:successful_repeats,PPS32:result,PS32:status,PS32:successful_repeats,PS32:result,result_match,PPS32:matches_reference,PS32:matches_reference,PPS32:wall_vs_Concorde_relative_change,PS32:wall_vs_Concorde_relative_change,PPS32:wall_seconds,PS32:wall_seconds,relative_change:wall_seconds,PPS32:branches,PS32:branches,relative_change:branches,PPS32:nodes_expanded,PS32:nodes_expanded,PPS32:pruned_by_bound,PS32:pruned_by_bound,PPS32:pruned_infeasible,PS32:pruned_infeasible,PPS32:root_potential_iterations,PS32:root_potential_iterations,PPS32:search_node_potential_update_candidates,PS32:search_node_potential_update_candidates,PPS32:search_node_potential_updates_triggered,PS32:search_node_potential_updates_triggered,PPS32:search_node_potential_updates_skipped_total,PS32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPS32:search_node_potential_iterations,PS32:search_node_potential_iterations,PPS32:search_node_potential_updates_skipped_budget_exhausted,PS32:search_node_potential_updates_skipped_budget_exhausted,PPS32:search_node_potential_updates_skipped_depth_interval,PS32:search_node_potential_updates_skipped_depth_interval,PPS32:search_node_potential_updates_skipped_gap_above_maximum,PS32:search_node_potential_updates_skipped_gap_above_maximum,PPS32:search_node_potential_updates_skipped_gap_below_minimum,PS32:search_node_potential_updates_skipped_gap_below_minimum,PPS32:search_node_potential_updates_skipped_invalid_state,PS32:search_node_potential_updates_skipped_invalid_state,PPS32:search_node_potential_updates_skipped_numerically_unsafe,PS32:search_node_potential_updates_skipped_numerically_unsafe,PPS32:search_node_potential_updates_skipped_strategy_none,PS32:search_node_potential_updates_skipped_strategy_none,PPS32:search_node_potential_updates_skipped_update_depth_zero,PS32:search_node_potential_updates_skipped_update_depth_zero,PPS32:search_node_potential_updates_skipped_zero_iteration_limit,PS32:search_node_potential_updates_skipped_zero_iteration_limit,PPS32:search_node_potential_updates_skipped_zero_violation,PS32:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,4.429298292702024,62.45634641773285,0.42791002430021763,5.001310532912612,10.687762026822115,588.0,5866.0,8.976190476190476,125.0,1767.0,468.0,4135.0,0.0,0.0,400.0,400.0,289.0,5237.0,263.0,5173.0,26.0,64.0,1.4615384615384617,4143.0,83688.0,0.0,0.0,0.0,0.0,26.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.926017851361832,1.4428777835658888,0.11090339720249176,0.1406650748103857,0.2683567713760284,411.0,589.0,0.43309002433090016,130.0,193.0,284.0,401.0,47.0,28.0,400.0,400.0,376.0,560.0,376.0,560.0,0.0,0.0,0.0,5604.0,8379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,3.144601468262344,20.680647264276157,0.16117767803370953,0.8431296497583389,4.23105717891036,281.0,1776.0,5.320284697508897,76.0,539.0,207.0,1246.0,0.0,0.0,364.0,400.0,156.0,1598.0,146.0,1589.0,10.0,9.0,-0.09999999999999998,2603.0,25281.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.21964719187732584,-0.3694601100629924,0.023005302995443344,0.018588721752166748,-0.19198100734215007,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,83.97295417300754,2322.534832252743,13.586690604686737,371.5199639964849,26.344404521019182,11187.0,325497.0,28.096004290694555,3401.0,101093.0,7829.0,225821.0,0.0,0.0,400.0,800.0,10312.0,306639.0,10188.0,306574.0,124.0,65.0,-0.47580645161290325,158636.0,4924840.0,0.0,0.0,0.0,0.0,123.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,243.05685701946433,192.70369424037267,82.01540363952518,65.09420330822468,-0.20631734504011834,66321.0,51825.0,-0.21857330257384544,22562.0,17522.0,44039.0,34493.0,1.0,1.0,400.0,400.0,61154.0,47995.0,61147.0,47988.0,7.0,7.0,0.0,993404.0,781907.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.1645070254310621,-0.45545395562659896,0.02113865688443184,0.009884845465421677,-0.5323806276120764,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.1728089895994125,-0.5067681556543505,0.00999007560312748,0.004201386123895645,-0.5794440111563955,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.16011356035241942,-0.5721941649127129,0.011392222717404366,0.005802759900689125,-0.4906384781414068,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.3415296085837864,3.8017710721143825,0.25710921362042427,0.3694654032588005,0.43699791250674513,1459.0,3192.0,1.187799862919808,464.0,897.0,1000.0,2298.0,0.0,1.0,334.0,389.0,1309.0,2835.0,1302.0,2504.0,7.0,331.0,46.285714285714285,20272.0,29670.0,0.0,0.0,0.0,0.0,7.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
