instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,PSD-PSD64:status,PSD-PSD64:successful_repeats,PSD-PSD64:result,result_match,P32:matches_reference,PSD-PSD64:matches_reference,P32:wall_vs_Concorde_relative_change,PSD-PSD64:wall_vs_Concorde_relative_change,P32:wall_seconds,PSD-PSD64:wall_seconds,relative_change:wall_seconds,P32:branches,PSD-PSD64:branches,relative_change:branches,P32:nodes_expanded,PSD-PSD64:nodes_expanded,P32:pruned_by_bound,PSD-PSD64:pruned_by_bound,P32:pruned_infeasible,PSD-PSD64:pruned_infeasible,P32:root_potential_iterations,PSD-PSD64:root_potential_iterations,P32:search_node_potential_update_candidates,PSD-PSD64:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,PSD-PSD64:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,PSD-PSD64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,PSD-PSD64:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD64:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,PSD-PSD64:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD64:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD64:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,PSD-PSD64:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD64:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,PSD-PSD64:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD64:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD64:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,PSD-PSD64:search_node_potential_updates_skipped_zero_violation
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.0216468982411304,0.4109800095387377,0.11640988104045391,0.0812466386705637,-0.3020640692663412,429.0,438.0,0.020979020979021046,135.0,134.0,298.0,307.0,51.0,47.0,400.0,400.0,411.0,392.0,411.0,392.0,0.0,0.0,0.0,6174.0,3566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,5.701447384056891,7.7595434825184935,0.2606097925454378,0.3406462334096432,0.30711217749137676,454.0,791.0,0.7422907488986785,135.0,248.0,328.0,555.0,0.0,0.0,364.0,400.0,304.0,654.0,295.0,643.0,9.0,11.0,0.22222222222222232,5287.0,6369.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.40002944279820307,0.14812614912208644,0.017687518149614334,0.0338474977761507,0.9136374866073977,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,112.01531218836858,171.45645947147264,18.070503670722246,27.57480401173234,0.525956581742042,12407.0,35455.0,1.857660997823809,3833.0,11465.0,8620.0,24235.0,0.0,0.0,400.0,400.0,11445.0,31918.0,11321.0,31872.0,124.0,46.0,-0.6290322580645161,179449.0,290978.0,0.0,0.0,0.0,0.0,123.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,207.6456273205473,497.82694064905655,70.11544584855437,167.63099133223295,1.3907855010193755,51113.0,189390.0,2.7053195860152996,17260.0,69148.0,34040.0,122035.0,0.0,16.0,400.0,400.0,47121.0,175968.0,47117.0,175960.0,4.0,8.0,1.0,768553.0,1668243.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.16739789131891636,0.979058076205864,0.015113769099116325,0.0359247550368309,1.3769553975077837,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,-0.10659820555259258,2.908162000145634,0.007610063999891281,0.03329001925885677,3.3744729688649615,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,0.05294187035394504,2.5122758911245477,0.01428210735321045,0.04764052294194698,2.3356788157202835,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.421143077531925,2.6096937201994233,0.2632349580526352,0.2777427174150944,0.05511334615198904,1203.0,2062.0,0.7140482128013299,405.0,721.0,800.0,1352.0,0.0,2.0,334.0,323.0,1124.0,1850.0,1117.0,1834.0,7.0,16.0,1.2857142857142856,17868.0,17213.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,15.163015358017685,29.145043520091296,3.2561134677380323,6.072857076302171,0.8650630994505493,5119.0,14079.0,1.750341863645243,1765.0,5151.0,3384.0,9105.0,0.0,1.0,319.0,356.0,4732.0,12842.0,4731.0,12840.0,1.0,2.0,1.0,78352.0,125257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
