instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS16:status,PS-PS16:successful_repeats,PS-PS16:result,PS-PS32:status,PS-PS32:successful_repeats,PS-PS32:result,result_match,PS-PS16:matches_reference,PS-PS32:matches_reference,PS-PS16:wall_vs_Concorde_relative_change,PS-PS32:wall_vs_Concorde_relative_change,PS-PS16:wall_seconds,PS-PS32:wall_seconds,relative_change:wall_seconds,PS-PS16:branches,PS-PS32:branches,relative_change:branches,PS-PS16:nodes_expanded,PS-PS32:nodes_expanded,PS-PS16:pruned_by_bound,PS-PS32:pruned_by_bound,PS-PS16:pruned_infeasible,PS-PS32:pruned_infeasible,PS-PS16:root_potential_iterations,PS-PS32:root_potential_iterations,PS-PS16:search_node_potential_update_candidates,PS-PS32:search_node_potential_update_candidates,PS-PS16:search_node_potential_updates_triggered,PS-PS32:search_node_potential_updates_triggered,PS-PS16:search_node_potential_updates_skipped_total,PS-PS32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS16:search_node_potential_iterations,PS-PS32:search_node_potential_iterations,PS-PS16:search_node_potential_updates_skipped_budget_exhausted,PS-PS32:search_node_potential_updates_skipped_budget_exhausted,PS-PS16:search_node_potential_updates_skipped_depth_interval,PS-PS32:search_node_potential_updates_skipped_depth_interval,PS-PS16:search_node_potential_updates_skipped_gap_above_maximum,PS-PS32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS16:search_node_potential_updates_skipped_gap_below_minimum,PS-PS32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS16:search_node_potential_updates_skipped_invalid_state,PS-PS32:search_node_potential_updates_skipped_invalid_state,PS-PS16:search_node_potential_updates_skipped_numerically_unsafe,PS-PS32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS16:search_node_potential_updates_skipped_strategy_none,PS-PS32:search_node_potential_updates_skipped_strategy_none,PS-PS16:search_node_potential_updates_skipped_update_depth_zero,PS-PS32:search_node_potential_updates_skipped_update_depth_zero,PS-PS16:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS16:search_node_potential_updates_skipped_zero_violation,PS-PS32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.4595030069197057,-0.5210508706051253,0.04842023923993111,0.042906494811177254,-0.1138727217234976,48.0,36.0,-0.25,18.0,14.0,31.0,22.0,2.0,12.0,100.0,100.0,42.0,29.0,42.0,29.0,0.0,0.0,0.0,376.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.28554720894383734,-0.37395255298626806,0.017040619626641273,0.014932038262486458,-0.12373853828990256,2.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,100.0,100.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,0.1293087522709011,-0.07292797150608443,0.04605835862457752,0.037810223177075386,-0.17908009954789816,10.0,10.0,0.0,3.0,3.0,6.0,6.0,2.0,2.0,100.0,100.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,47.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.23425151063626604,-0.453618103041157,0.043611831963062286,0.031118201091885567,-0.2864734249585845,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.44971967014793957,-0.5046554495059217,0.04995691403746605,0.044969597831368446,-0.09983235158115011,86.0,39.0,-0.5465116279069768,28.0,11.0,59.0,28.0,0.0,0.0,100.0,100.0,82.0,36.0,82.0,36.0,0.0,0.0,0.0,734.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.20691682786877974,-0.12415618470471046,0.018829427659511566,0.0207943357527256,0.10435304400882695,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,3976.026216457541,877.3153951411576,735.7168207895011,162.4810536801815,-0.7791527268524018,842923.0,113490.0,-0.8653613675270457,266389.0,36203.0,582268.0,77705.0,1.0,0.0,400.0,400.0,794139.0,108208.0,793794.0,107863.0,345.0,345.0,0.0,7183071.0,1751614.0,0.0,0.0,0.0,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,1657.8528251160444,1220.1626618386238,552.2094518914819,406.5083737112582,-0.26385111243777903,421296.0,205249.0,-0.5128152178041092,133187.0,62794.0,290578.0,143090.0,0.0,0.0,400.0,400.0,402315.0,196919.0,402195.0,196798.0,120.0,121.0,0.008333333333333304,3690548.0,3116069.0,0.0,0.0,0.0,0.0,119.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.4005573772142058,-0.16440210125926968,0.025954512879252434,0.03617950342595577,0.393958098704176,5.0,5.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,100.0,100.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.5462923565214293,-0.1348287721410214,0.017072906717658043,0.03255617991089821,0.9068914537690431,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
