instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS32:status,PS32:successful_repeats,PS32:result,hybrid-reverse:status,hybrid-reverse:successful_repeats,hybrid-reverse:result,result_match,PS32:matches_reference,hybrid-reverse:matches_reference,PS32:wall_vs_Concorde_relative_change,hybrid-reverse:wall_vs_Concorde_relative_change,PS32:wall_seconds,hybrid-reverse:wall_seconds,relative_change:wall_seconds,PS32:branches,hybrid-reverse:branches,relative_change:branches,PS32:nodes_expanded,hybrid-reverse:nodes_expanded,PS32:pruned_by_bound,hybrid-reverse:pruned_by_bound,PS32:pruned_infeasible,hybrid-reverse:pruned_infeasible,PS32:root_potential_iterations,hybrid-reverse:root_potential_iterations,PS32:search_node_potential_update_candidates,hybrid-reverse:search_node_potential_update_candidates,PS32:search_node_potential_updates_triggered,hybrid-reverse:search_node_potential_updates_triggered,PS32:search_node_potential_updates_skipped_total,hybrid-reverse:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS32:search_node_potential_iterations,hybrid-reverse:search_node_potential_iterations,PS32:search_node_potential_updates_skipped_budget_exhausted,hybrid-reverse:search_node_potential_updates_skipped_budget_exhausted,PS32:search_node_potential_updates_skipped_depth_interval,hybrid-reverse:search_node_potential_updates_skipped_depth_interval,PS32:search_node_potential_updates_skipped_gap_above_maximum,hybrid-reverse:search_node_potential_updates_skipped_gap_above_maximum,PS32:search_node_potential_updates_skipped_gap_below_minimum,hybrid-reverse:search_node_potential_updates_skipped_gap_below_minimum,PS32:search_node_potential_updates_skipped_invalid_state,hybrid-reverse:search_node_potential_updates_skipped_invalid_state,PS32:search_node_potential_updates_skipped_numerically_unsafe,hybrid-reverse:search_node_potential_updates_skipped_numerically_unsafe,PS32:search_node_potential_updates_skipped_strategy_none,hybrid-reverse:search_node_potential_updates_skipped_strategy_none,PS32:search_node_potential_updates_skipped_update_depth_zero,hybrid-reverse:search_node_potential_updates_skipped_update_depth_zero,PS32:search_node_potential_updates_skipped_zero_iteration_limit,hybrid-reverse:search_node_potential_updates_skipped_zero_iteration_limit,PS32:search_node_potential_updates_skipped_zero_violation,hybrid-reverse:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,62.45634641773285,8.578591819073024,5.001310532912612,0.7549365013837814,-0.8490522641184352,5866.0,1014.0,-0.8271394476645073,1767.0,220.0,4135.0,804.0,0.0,6.0,400.0,551.0,5237.0,680.0,5173.0,639.0,64.0,41.0,-0.359375,83688.0,8715.0,0.0,0.0,0.0,0.0,64.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.4428777835658888,1.1075257495452537,0.1406650748103857,0.12135493196547031,-0.13727745050393747,589.0,440.0,-0.25297113752122236,193.0,153.0,401.0,291.0,28.0,34.0,400.0,463.0,560.0,415.0,560.0,415.0,0.0,0.0,0.0,8379.0,6521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,20.680647264276157,37.29010938661277,0.8431296497583389,1.489048095420003,0.766096229502544,1776.0,3192.0,0.7972972972972974,539.0,1042.0,1246.0,2174.0,0.0,0.0,400.0,433.0,1598.0,2960.0,1589.0,2949.0,9.0,11.0,0.22222222222222232,25281.0,47624.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.3694601100629924,-0.4021325810466725,0.018588721752166748,0.017625516280531883,-0.05181665982614381,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,56.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,2322.534832252743,2795.1123801405074,371.5199639964849,447.0824178662151,0.2033873309441998,325497.0,393662.0,0.20941821276386574,101093.0,118496.0,225821.0,276680.0,0.0,0.0,800.0,1074.0,306639.0,372490.0,306574.0,372451.0,65.0,39.0,-0.4,4924840.0,5770837.0,0.0,0.0,0.0,0.0,65.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,192.70369424037267,196.0931948970312,65.09420330822468,66.23324634879827,0.017498379005887355,51825.0,52994.0,0.022556681138446777,17522.0,17789.0,34493.0,35382.0,1.0,0.0,400.0,604.0,47995.0,48916.0,47988.0,48910.0,7.0,6.0,-0.1428571428571429,781907.0,797177.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.45545395562659896,0.33742704214027297,0.009884845465421677,0.02427757903933525,1.4560403219515172,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,-0.5067681556543505,1.0518258155778994,0.004201386123895645,0.01747760735452175,3.159962174177891,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.5721941649127129,-0.050506590183434286,0.005802759900689125,0.012878932058811188,1.2194494135939884,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,3.8017710721143825,1.5695884776412097,0.3694654032588005,0.19771330803632736,-0.46486651715577676,3192.0,1070.0,-0.6647869674185464,897.0,319.0,2298.0,754.0,1.0,0.0,389.0,311.0,2835.0,976.0,2504.0,938.0,331.0,38.0,-0.8851963746223565,29670.0,13263.0,0.0,0.0,0.0,0.0,331.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
