instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS16:status,PS-PS16:successful_repeats,PS-PS16:result,PS32:status,PS32:successful_repeats,PS32:result,result_match,PS-PS16:matches_reference,PS32:matches_reference,PS-PS16:wall_vs_Concorde_relative_change,PS32:wall_vs_Concorde_relative_change,PS-PS16:wall_seconds,PS32:wall_seconds,relative_change:wall_seconds,PS-PS16:branches,PS32:branches,relative_change:branches,PS-PS16:nodes_expanded,PS32:nodes_expanded,PS-PS16:pruned_by_bound,PS32:pruned_by_bound,PS-PS16:pruned_infeasible,PS32:pruned_infeasible,PS-PS16:root_potential_iterations,PS32:root_potential_iterations,PS-PS16:search_node_potential_update_candidates,PS32:search_node_potential_update_candidates,PS-PS16:search_node_potential_updates_triggered,PS32:search_node_potential_updates_triggered,PS-PS16:search_node_potential_updates_skipped_total,PS32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS16:search_node_potential_iterations,PS32:search_node_potential_iterations,PS-PS16:search_node_potential_updates_skipped_budget_exhausted,PS32:search_node_potential_updates_skipped_budget_exhausted,PS-PS16:search_node_potential_updates_skipped_depth_interval,PS32:search_node_potential_updates_skipped_depth_interval,PS-PS16:search_node_potential_updates_skipped_gap_above_maximum,PS32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS16:search_node_potential_updates_skipped_gap_below_minimum,PS32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS16:search_node_potential_updates_skipped_invalid_state,PS32:search_node_potential_updates_skipped_invalid_state,PS-PS16:search_node_potential_updates_skipped_numerically_unsafe,PS32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS16:search_node_potential_updates_skipped_strategy_none,PS32:search_node_potential_updates_skipped_strategy_none,PS-PS16:search_node_potential_updates_skipped_update_depth_zero,PS32:search_node_potential_updates_skipped_update_depth_zero,PS-PS16:search_node_potential_updates_skipped_zero_iteration_limit,PS32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS16:search_node_potential_updates_skipped_zero_violation,PS32:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,88.34324252639271,62.45634641773285,7.041585674509406,5.001310532912612,-0.28974654799452426,11690.0,5866.0,-0.4982035928143712,3795.0,1767.0,7993.0,4135.0,0.0,0.0,400.0,400.0,10699.0,5237.0,10635.0,5173.0,64.0,64.0,0.0,103185.0,83688.0,0.0,0.0,0.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.2425559158676096,1.4428777835658888,0.12913019955158234,0.1406650748103857,0.08932747954281317,791.0,589.0,-0.2553729456384324,263.0,193.0,533.0,401.0,32.0,28.0,400.0,400.0,730.0,560.0,730.0,560.0,0.0,0.0,0.0,6467.0,8379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,21.230598507559268,20.680647264276157,0.8645164743065834,0.8431296497583389,-0.024738481201759144,2612.0,1776.0,-0.3200612557427259,869.0,539.0,1772.0,1246.0,0.0,0.0,400.0,400.0,2382.0,1598.0,2371.0,1589.0,11.0,9.0,-0.18181818181818177,22675.0,25281.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.16080133693049348,-0.3694601100629924,0.02474011667072773,0.018588721752166748,-0.24864049755429218,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,1475.6390307790784,2322.534832252743,236.10615685023367,371.5199639964849,0.5735293350784858,314985.0,325497.0,0.0333730177627507,100794.0,101093.0,216976.0,225821.0,0.0,0.0,800.0,800.0,293371.0,306639.0,293324.0,306574.0,47.0,65.0,0.38297872340425543,2685178.0,4924840.0,0.0,0.0,0.0,0.0,46.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,316.89184039505034,192.70369424037267,106.82767909951508,65.09420330822468,-0.3906616351031429,126184.0,51825.0,-0.5892902428200089,44575.0,17522.0,82645.0,34493.0,2.0,1.0,400.0,400.0,116138.0,47995.0,116131.0,47988.0,7.0,7.0,0.0,1086697.0,781907.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.46271544379916807,-0.45545395562659896,0.0265518706291914,0.009884845465421677,-0.6277156663096205,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.9832131633919783,-0.5067681556543505,0.016893159598112106,0.004201386123895645,-0.7512966062094641,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.6244253904667034,-0.5721941649127129,0.005094295367598534,0.005802759900689125,0.13907017201960237,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,4.7023603756336065,3.8017710721143825,0.43875995837152004,0.3694654032588005,-0.15793272332760222,4375.0,3192.0,-0.2704,1335.0,897.0,3067.0,2298.0,4.0,1.0,389.0,389.0,3982.0,2835.0,3651.0,2504.0,331.0,331.0,0.0,29496.0,29670.0,0.0,0.0,0.0,0.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
