instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PSD-PSD64:status,PSD-PSD64:successful_repeats,PSD-PSD64:result,PSD32:status,PSD32:successful_repeats,PSD32:result,result_match,PSD-PSD64:matches_reference,PSD32:matches_reference,PSD-PSD64:wall_vs_Concorde_relative_change,PSD32:wall_vs_Concorde_relative_change,PSD-PSD64:wall_seconds,PSD32:wall_seconds,relative_change:wall_seconds,PSD-PSD64:branches,PSD32:branches,relative_change:branches,PSD-PSD64:nodes_expanded,PSD32:nodes_expanded,PSD-PSD64:pruned_by_bound,PSD32:pruned_by_bound,PSD-PSD64:pruned_infeasible,PSD32:pruned_infeasible,PSD-PSD64:root_potential_iterations,PSD32:root_potential_iterations,PSD-PSD64:search_node_potential_update_candidates,PSD32:search_node_potential_update_candidates,PSD-PSD64:search_node_potential_updates_triggered,PSD32:search_node_potential_updates_triggered,PSD-PSD64:search_node_potential_updates_skipped_total,PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PSD-PSD64:search_node_potential_iterations,PSD32:search_node_potential_iterations,PSD-PSD64:search_node_potential_updates_skipped_budget_exhausted,PSD32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD64:search_node_potential_updates_skipped_depth_interval,PSD32:search_node_potential_updates_skipped_depth_interval,PSD-PSD64:search_node_potential_updates_skipped_gap_above_maximum,PSD32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD64:search_node_potential_updates_skipped_gap_below_minimum,PSD32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD64:search_node_potential_updates_skipped_invalid_state,PSD32:search_node_potential_updates_skipped_invalid_state,PSD-PSD64:search_node_potential_updates_skipped_numerically_unsafe,PSD32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD64:search_node_potential_updates_skipped_strategy_none,PSD32:search_node_potential_updates_skipped_strategy_none,PSD-PSD64:search_node_potential_updates_skipped_update_depth_zero,PSD32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD64:search_node_potential_updates_skipped_zero_iteration_limit,PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD64:search_node_potential_updates_skipped_zero_violation,PSD32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.41929117625765355,-0.5975507053710212,0.052022602409124374,0.036053283140063286,-0.3069688660223616,35.0,27.0,-0.22857142857142854,12.0,9.0,23.0,18.0,2.0,1.0,100.0,100.0,28.0,22.0,28.0,22.0,0.0,0.0,0.0,257.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.3223779531580594,-0.34578041513735625,0.01616215892136097,0.015603980049490929,-0.03453615786021724,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.5858862261094391,-0.4259831787871443,0.01688944734632969,0.023411022499203682,0.3861331291157506,12.0,15.0,0.25,3.0,5.0,8.0,7.0,1.0,6.0,100.0,100.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,64.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.127651021110316,-0.5636107379126205,0.04968307167291641,0.024853767827153206,-0.49975379962866373,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.31793155566259157,-0.411648081177283,0.06192122958600521,0.05341322347521782,-0.13740047101245356,71.0,16.0,-0.7746478873239436,21.0,4.0,50.0,12.0,2.0,0.0,100.0,100.0,60.0,15.0,60.0,15.0,0.0,0.0,0.0,557.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,0.0828165804346177,-0.7153255804119447,0.02570829540491104,0.006758756935596466,-0.7370982078296274,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,319.03731713371747,365.65462809510643,106.53605238720775,122.05431859195232,0.1456621102154516,78972.0,63161.0,-0.2002102010839285,25409.0,19479.0,54042.0,43885.0,0.0,0.0,400.0,400.0,75665.0,60283.0,75645.0,60264.0,20.0,19.0,-0.050000000000000044,703004.0,966772.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.037369878528987766,-0.2905497150197982,0.04491577483713627,0.030717596411705017,-0.316106723682572,4.0,4.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.3245821767004977,-0.29049044862174245,0.025415806099772453,0.02669866941869259,0.050475019910213303,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,2380.8376800304413,2077.3782175363594,187.724483827129,163.8073330335319,-0.12740560158163405,344662.0,217627.0,-0.3685784913915662,100105.0,58410.0,247287.0,159992.0,6.0,0.0,500.0,400.0,324471.0,206266.0,318088.0,199884.0,6383.0,6382.0,-0.00015666614444620475,2855700.0,2768550.0,0.0,0.0,0.0,0.0,6382.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
