instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPS32:status,PPS32:successful_repeats,PPS32:result,PSD-PSD32:status,PSD-PSD32:successful_repeats,PSD-PSD32:result,result_match,PPS32:matches_reference,PSD-PSD32:matches_reference,PPS32:wall_vs_Concorde_relative_change,PSD-PSD32:wall_vs_Concorde_relative_change,PPS32:wall_seconds,PSD-PSD32:wall_seconds,relative_change:wall_seconds,PPS32:branches,PSD-PSD32:branches,relative_change:branches,PPS32:nodes_expanded,PSD-PSD32:nodes_expanded,PPS32:pruned_by_bound,PSD-PSD32:pruned_by_bound,PPS32:pruned_infeasible,PSD-PSD32:pruned_infeasible,PPS32:root_potential_iterations,PSD-PSD32:root_potential_iterations,PPS32:search_node_potential_update_candidates,PSD-PSD32:search_node_potential_update_candidates,PPS32:search_node_potential_updates_triggered,PSD-PSD32:search_node_potential_updates_triggered,PPS32:search_node_potential_updates_skipped_total,PSD-PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPS32:search_node_potential_iterations,PSD-PSD32:search_node_potential_iterations,PPS32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD32:search_node_potential_updates_skipped_budget_exhausted,PPS32:search_node_potential_updates_skipped_depth_interval,PSD-PSD32:search_node_potential_updates_skipped_depth_interval,PPS32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD32:search_node_potential_updates_skipped_gap_above_maximum,PPS32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD32:search_node_potential_updates_skipped_gap_below_minimum,PPS32:search_node_potential_updates_skipped_invalid_state,PSD-PSD32:search_node_potential_updates_skipped_invalid_state,PPS32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD32:search_node_potential_updates_skipped_numerically_unsafe,PPS32:search_node_potential_updates_skipped_strategy_none,PSD-PSD32:search_node_potential_updates_skipped_strategy_none,PPS32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD32:search_node_potential_updates_skipped_update_depth_zero,PPS32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PPS32:search_node_potential_updates_skipped_zero_violation,PSD-PSD32:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,4.429298292702024,1872.8457568203637,0.42791002430021763,147.68711168691516,344.13590077361516,588.0,207045.0,351.1173469387755,125.0,54916.0,468.0,152859.0,0.0,0.0,400.0,400.0,289.0,195490.0,263.0,189108.0,26.0,6382.0,244.46153846153845,4143.0,2553069.0,0.0,0.0,0.0,0.0,26.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.926017851361832,0.5893396843832026,0.11090339720249176,0.0915168933570385,-0.17480532007560257,411.0,287.0,-0.3017031630170316,130.0,93.0,284.0,197.0,47.0,32.0,400.0,400.0,376.0,260.0,376.0,260.0,0.0,0.0,0.0,5604.0,4050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,3.144601468262344,6.737952344338572,0.16117767803370953,0.30091800168156624,0.8669955129805922,281.0,512.0,0.8220640569395017,76.0,135.0,207.0,380.0,0.0,0.0,364.0,400.0,156.0,393.0,146.0,383.0,10.0,10.0,0.0,2603.0,5927.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.21964719187732584,0.03828391450215762,0.023005302995443344,0.03060927800834179,0.3305314002777777,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,83.97295417300754,112.94983067613659,13.586690604686737,18.21992784552276,0.34101293505850405,11187.0,15246.0,0.36283185840707954,3401.0,4754.0,7829.0,10532.0,0.0,0.0,400.0,400.0,10312.0,13725.0,10188.0,13679.0,124.0,46.0,-0.6290322580645161,158636.0,212689.0,0.0,0.0,0.0,0.0,123.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,243.05685701946433,149.60807488116208,82.01540363952518,50.6119033228606,-0.3828975890271725,66321.0,39401.0,-0.40590461543100975,22562.0,13675.0,44039.0,25900.0,1.0,1.0,400.0,400.0,61154.0,36625.0,61147.0,36617.0,7.0,8.0,0.1428571428571428,993404.0,600098.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.1645070254310621,0.7640857242859105,0.02113865688443184,0.03202247992157936,0.5148776999717148,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.1728089895994125,2.9574943249742462,0.00999007560312748,0.033710235729813576,2.374372434104532,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.16011356035241942,1.6252523475653171,0.011392222717404366,0.0356089323759079,2.1257229830581412,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.3415296085837864,2.996987104237735,0.25710921362042427,0.3075424525886774,0.19615492676473578,1459.0,1677.0,0.14941740918437296,464.0,565.0,1000.0,1115.0,0.0,0.0,334.0,323.0,1309.0,1532.0,1302.0,1516.0,7.0,16.0,1.2857142857142856,20272.0,24480.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
