instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPSD32:status,PPSD32:successful_repeats,PPSD32:result,PSD-PSD16:status,PSD-PSD16:successful_repeats,PSD-PSD16:result,result_match,PPSD32:matches_reference,PSD-PSD16:matches_reference,PPSD32:wall_vs_Concorde_relative_change,PSD-PSD16:wall_vs_Concorde_relative_change,PPSD32:wall_seconds,PSD-PSD16:wall_seconds,relative_change:wall_seconds,PPSD32:branches,PSD-PSD16:branches,relative_change:branches,PPSD32:nodes_expanded,PSD-PSD16:nodes_expanded,PPSD32:pruned_by_bound,PSD-PSD16:pruned_by_bound,PPSD32:pruned_infeasible,PSD-PSD16:pruned_infeasible,PPSD32:root_potential_iterations,PSD-PSD16:root_potential_iterations,PPSD32:search_node_potential_update_candidates,PSD-PSD16:search_node_potential_update_candidates,PPSD32:search_node_potential_updates_triggered,PSD-PSD16:search_node_potential_updates_triggered,PPSD32:search_node_potential_updates_skipped_total,PSD-PSD16:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPSD32:search_node_potential_iterations,PSD-PSD16:search_node_potential_iterations,PPSD32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD16:search_node_potential_updates_skipped_budget_exhausted,PPSD32:search_node_potential_updates_skipped_depth_interval,PSD-PSD16:search_node_potential_updates_skipped_depth_interval,PPSD32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD16:search_node_potential_updates_skipped_gap_above_maximum,PPSD32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD16:search_node_potential_updates_skipped_gap_below_minimum,PPSD32:search_node_potential_updates_skipped_invalid_state,PSD-PSD16:search_node_potential_updates_skipped_invalid_state,PPSD32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD16:search_node_potential_updates_skipped_numerically_unsafe,PPSD32:search_node_potential_updates_skipped_strategy_none,PSD-PSD16:search_node_potential_updates_skipped_strategy_none,PPSD32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD16:search_node_potential_updates_skipped_update_depth_zero,PPSD32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD16:search_node_potential_updates_skipped_zero_iteration_limit,PPSD32:search_node_potential_updates_skipped_zero_violation,PSD-PSD16:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.5634221594340482,-0.37680370167640576,0.03911067731678486,0.05582882836461067,0.4274574667274045,22.0,35.0,0.5909090909090908,7.0,12.0,15.0,23.0,0.0,2.0,100.0,100.0,18.0,28.0,18.0,28.0,0.0,0.0,0.0,239.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.05677113810373291,-0.31761483719369443,0.02249722369015217,0.016275765374302864,-0.276543381598355,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.42514663494221305,-0.3228038052354939,0.023445140570402145,0.027619147673249245,0.17803293140056886,11.0,12.0,0.09090909090909083,3.0,3.0,6.0,8.0,4.0,1.0,100.0,100.0,7.0,10.0,7.0,10.0,0.0,0.0,0.0,85.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.796202674470476,-0.2987320990093052,0.011606911197304726,0.039939455687999725,2.441006397746386,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.3095341858634837,-0.5188474566659391,0.06268358044326305,0.0436811838299036,-0.3031479133608065,47.0,71.0,0.5106382978723405,14.0,21.0,33.0,50.0,0.0,2.0,120.0,100.0,44.0,60.0,44.0,60.0,0.0,0.0,0.0,622.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.4872933351252089,-0.11043625500836662,0.01217271201312542,0.02112007513642311,0.7350344864521607,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,330.24310084220025,317.79800257384585,110.2663047555834,106.12350149452686,-0.03757089049315199,59460.0,78972.0,0.32815338042381437,17996.0,25409.0,41645.0,54042.0,0.0,0.0,400.0,400.0,56929.0,75665.0,56524.0,75645.0,405.0,20.0,-0.9506172839506173,889991.0,703004.0,0.0,0.0,0.0,0.0,404.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.1409575759812769,-0.05322796665252616,0.03719459846615791,0.04099309258162975,0.10212488565854416,3.0,4.0,0.33333333333333326,1.0,1.0,2.0,3.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.4511072985676893,-0.17904864391812425,0.020654696971178055,0.03089219704270363,0.49564997665234056,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.761656648855711,2345.7582653173627,0.5329198185354471,184.95970053598285,346.06853470806,789.0,344662.0,435.8339670468948,195.0,100105.0,604.0,247287.0,0.0,6.0,400.0,500.0,417.0,324471.0,390.0,318088.0,27.0,6383.0,235.40740740740742,6613.0,2855700.0,0.0,0.0,0.0,0.0,26.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
