instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,PPSD32:status,PPSD32:successful_repeats,PPSD32:result,result_match,P32:matches_reference,PPSD32:matches_reference,P32:wall_vs_Concorde_relative_change,PPSD32:wall_vs_Concorde_relative_change,P32:wall_seconds,PPSD32:wall_seconds,relative_change:wall_seconds,P32:branches,PPSD32:branches,relative_change:branches,P32:nodes_expanded,PPSD32:nodes_expanded,P32:pruned_by_bound,PPSD32:pruned_by_bound,P32:pruned_infeasible,PPSD32:pruned_infeasible,P32:root_potential_iterations,PPSD32:root_potential_iterations,P32:search_node_potential_update_candidates,PPSD32:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,PPSD32:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,PPSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,PPSD32:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,PPSD32:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,PPSD32:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,PPSD32:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,PPSD32:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,PPSD32:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,PPSD32:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,PPSD32:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,PPSD32:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,PPSD32:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,PPSD32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.6340954076313081,-0.5634221594340482,0.03277943842113018,0.03911067731678486,0.19314665536104658,29.0,22.0,-0.24137931034482762,9.0,7.0,20.0,15.0,1.0,0.0,100.0,100.0,26.0,18.0,26.0,18.0,0.0,0.0,0.0,332.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.33553282791345895,-0.05677113810373291,0.015848398208618164,0.02249722369015217,0.4195266546191687,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.4686148999616049,-0.42514663494221305,0.021672306582331657,0.023445140570402145,0.0818018138187373,10.0,11.0,0.10000000000000009,3.0,3.0,5.0,6.0,3.0,4.0,100.0,100.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,82.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.5577923517784235,-0.796202674470476,0.02518514357507229,0.011606911197304726,-0.5391365880958092,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.4132228188333388,-0.3095341858634837,0.053270261734724045,0.06268358044326305,0.1767087001639973,88.0,47.0,-0.46590909090909094,26.0,14.0,62.0,33.0,0.0,0.0,120.0,120.0,82.0,44.0,82.0,44.0,0.0,0.0,0.0,1173.0,622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.6582272780728018,-0.4872933351252089,0.008114388212561607,0.01217271201312542,0.5001392211283728,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1549.4207871066144,1349.9951620100796,286.81496934965253,249.92288493923843,-0.12862677458595062,205952.0,181331.0,-0.11954727315102553,62812.0,55789.0,143850.0,126175.0,0.0,0.0,400.0,400.0,195829.0,172406.0,194122.0,170699.0,1707.0,1707.0,0.0,3035962.0,2686763.0,0.0,0.0,0.0,0.0,1704.0,1704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,359.77294266837913,330.24310084220025,120.09638583473861,110.2663047555834,-0.08185159787141405,60352.0,59460.0,-0.014779957582184533,18041.0,17996.0,42505.0,41645.0,0.0,0.0,400.0,400.0,58114.0,56929.0,57710.0,56524.0,404.0,405.0,0.0024752475247524774,895438.0,889991.0,0.0,0.0,0.0,0.0,404.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.3739902850894712,-0.1409575759812769,0.027104808017611504,0.03719459846615791,0.37225094684273397,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.47175517465320815,-0.4511072985676893,0.0198777224868536,0.020654696971178055,0.03908770156331132,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
