instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,PS-PS16:status,PS-PS16:successful_repeats,PS-PS16:result,result_match,P32:matches_reference,PS-PS16:matches_reference,P32:wall_vs_Concorde_relative_change,PS-PS16:wall_vs_Concorde_relative_change,P32:wall_seconds,PS-PS16:wall_seconds,relative_change:wall_seconds,P32:branches,PS-PS16:branches,relative_change:branches,P32:nodes_expanded,PS-PS16:nodes_expanded,P32:pruned_by_bound,PS-PS16:pruned_by_bound,P32:pruned_infeasible,PS-PS16:pruned_infeasible,P32:root_potential_iterations,PS-PS16:root_potential_iterations,P32:search_node_potential_update_candidates,PS-PS16:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,PS-PS16:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,PS-PS16:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,PS-PS16:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,PS-PS16:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,PS-PS16:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS16:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS16:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,PS-PS16:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS16:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,PS-PS16:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,PS-PS16:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS16:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,PS-PS16:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.6340954076313081,-0.4595030069197057,0.03277943842113018,0.04842023923993111,0.4771527998087546,29.0,48.0,0.6551724137931034,9.0,18.0,20.0,31.0,1.0,2.0,100.0,100.0,26.0,42.0,26.0,42.0,0.0,0.0,0.0,332.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.33553282791345895,-0.28554720894383734,0.015848398208618164,0.017040619626641273,0.07522661926646901,3.0,2.0,-0.33333333333333337,1.0,1.0,2.0,1.0,1.0,3.0,100.0,100.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.4686148999616049,0.1293087522709011,0.021672306582331657,0.04605835862457752,1.1252171959456585,10.0,10.0,0.0,3.0,3.0,5.0,6.0,3.0,2.0,100.0,100.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,82.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.5577923517784235,-0.23425151063626604,0.02518514357507229,0.043611831963062286,0.7316491300938357,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.4132228188333388,-0.44971967014793957,0.053270261734724045,0.04995691403746605,-0.062198825186139506,88.0,86.0,-0.022727272727272707,26.0,28.0,62.0,59.0,0.0,0.0,120.0,100.0,82.0,82.0,82.0,82.0,0.0,0.0,0.0,1173.0,734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.6582272780728018,-0.20691682786877974,0.008114388212561607,0.018829427659511566,1.3204987444848117,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1549.4207871066144,3976.026216457541,286.81496934965253,735.7168207895011,1.5651269961875593,205952.0,842923.0,3.092812888440025,62812.0,266389.0,143850.0,582268.0,0.0,1.0,400.0,400.0,195829.0,794139.0,194122.0,793794.0,1707.0,345.0,-0.7978910369068541,3035962.0,7183071.0,0.0,0.0,0.0,0.0,1704.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,359.77294266837913,1657.8528251160444,120.09638583473861,552.2094518914819,3.5980522065948124,60352.0,421296.0,5.980646871686108,18041.0,133187.0,42505.0,290578.0,0.0,0.0,400.0,400.0,58114.0,402315.0,57710.0,402195.0,404.0,120.0,-0.7029702970297029,895438.0,3690548.0,0.0,0.0,0.0,0.0,404.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.3739902850894712,-0.4005573772142058,0.027104808017611504,0.025954512879252434,-0.04243878568007786,3.0,5.0,0.6666666666666667,1.0,1.0,2.0,4.0,0.0,0.0,100.0,100.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,18.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.47175517465320815,-0.5462923565214293,0.0198777224868536,0.017072906717658043,-0.141103477576496,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
