instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PSD-PSD16:status,PSD-PSD16:successful_repeats,PSD-PSD16:result,PSD-PSD32:status,PSD-PSD32:successful_repeats,PSD-PSD32:result,result_match,PSD-PSD16:matches_reference,PSD-PSD32:matches_reference,PSD-PSD16:wall_vs_Concorde_relative_change,PSD-PSD32:wall_vs_Concorde_relative_change,PSD-PSD16:wall_seconds,PSD-PSD32:wall_seconds,relative_change:wall_seconds,PSD-PSD16:branches,PSD-PSD32:branches,relative_change:branches,PSD-PSD16:nodes_expanded,PSD-PSD32:nodes_expanded,PSD-PSD16:pruned_by_bound,PSD-PSD32:pruned_by_bound,PSD-PSD16:pruned_infeasible,PSD-PSD32:pruned_infeasible,PSD-PSD16:root_potential_iterations,PSD-PSD32:root_potential_iterations,PSD-PSD16:search_node_potential_update_candidates,PSD-PSD32:search_node_potential_update_candidates,PSD-PSD16:search_node_potential_updates_triggered,PSD-PSD32:search_node_potential_updates_triggered,PSD-PSD16:search_node_potential_updates_skipped_total,PSD-PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PSD-PSD16:search_node_potential_iterations,PSD-PSD32:search_node_potential_iterations,PSD-PSD16:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD16:search_node_potential_updates_skipped_depth_interval,PSD-PSD32:search_node_potential_updates_skipped_depth_interval,PSD-PSD16:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD16:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD16:search_node_potential_updates_skipped_invalid_state,PSD-PSD32:search_node_potential_updates_skipped_invalid_state,PSD-PSD16:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD16:search_node_potential_updates_skipped_strategy_none,PSD-PSD32:search_node_potential_updates_skipped_strategy_none,PSD-PSD16:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD16:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD16:search_node_potential_updates_skipped_zero_violation,PSD-PSD32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.37680370167640576,-0.4932716847462204,0.05582882836461067,0.04539508372545242,-0.1868881175692394,35.0,36.0,0.02857142857142847,12.0,13.0,23.0,23.0,2.0,0.0,100.0,100.0,28.0,33.0,28.0,33.0,0.0,0.0,0.0,257.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.31761483719369443,0.07361611575046534,0.016275765374302864,0.02560712769627571,0.5733286335465213,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.3228038052354939,-0.5385454805692518,0.027619147673249245,0.01882021874189377,-0.3185807554763086,12.0,12.0,0.0,3.0,3.0,8.0,8.0,1.0,3.0,100.0,100.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,64.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.2987320990093052,-0.2657716443859537,0.039939455687999725,0.04181665927171707,0.04700123102281961,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.5188474566659391,-0.4701168437203571,0.0436811838299036,0.04810516722500324,0.1012789262380529,71.0,17.0,-0.7605633802816901,21.0,5.0,50.0,12.0,2.0,0.0,100.0,100.0,60.0,16.0,60.0,16.0,0.0,0.0,0.0,557.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.11043625500836662,-0.7731789182233978,0.02112007513642311,0.005385199561715126,-0.7450198672623112,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,317.79800257384585,254.8578137686346,106.12350149452686,85.17157216370106,-0.19742968367761937,78972.0,43137.0,-0.45376842425163344,25409.0,13504.0,54042.0,29782.0,0.0,0.0,400.0,400.0,75665.0,41237.0,75645.0,41217.0,20.0,20.0,0.0,703004.0,665531.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.05322796665252616,-0.2912168176455807,0.04099309258162975,0.030688712373375893,-0.2513686955365638,4.0,4.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.17904864391812425,-0.48191737384617217,0.03089219704270363,0.019495321437716484,-0.36892408750445127,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,2345.7582653173627,1872.8457568203637,184.95970053598285,147.68711168691516,-0.20151735075834276,344662.0,207045.0,-0.39928103475288834,100105.0,54916.0,247287.0,152859.0,6.0,0.0,500.0,400.0,324471.0,195490.0,318088.0,189108.0,6383.0,6382.0,-0.00015666614444620475,2855700.0,2553069.0,0.0,0.0,0.0,0.0,6382.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.7290436315728592,0.5893396843832026,0.09956128522753716,0.0915168933570385,-0.0807983931918318,438.0,287.0,-0.3447488584474886,134.0,93.0,307.0,197.0,47.0,32.0,400.0,400.0,392.0,260.0,392.0,260.0,0.0,0.0,0.0,3566.0,4050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,7.560373575262826,6.737952344338572,0.33290079794824123,0.30091800168156624,-0.09607305378597386,791.0,512.0,-0.35271807838179514,248.0,135.0,555.0,380.0,0.0,0.0,400.0,400.0,654.0,393.0,643.0,383.0,11.0,10.0,-0.09090909090909094,6369.0,5927.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,0.08619113809683276,0.03828391450215762,0.03202161379158497,0.03060927800834179,-0.04410570286792759,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,168.4209581918981,112.94983067613659,27.089444674551487,18.21992784552276,-0.32741597089145846,35455.0,15246.0,-0.569990128331688,11465.0,4754.0,24235.0,10532.0,0.0,0.0,400.0,400.0,31918.0,13725.0,31872.0,13679.0,46.0,46.0,0.0,290978.0,212689.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,486.66439572218343,149.60807488116208,163.8798136804253,50.6119033228606,-0.6911645053395251,189390.0,39401.0,-0.7919583927345689,69148.0,13675.0,122035.0,25900.0,16.0,1.0,400.0,400.0,175968.0,36625.0,175960.0,36617.0,8.0,8.0,0.0,1668243.0,600098.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.04475388339856157,0.7640857242859105,0.017340058460831642,0.03202247992157936,0.8467342537461975,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,1.751695947634726,2.9574943249742462,0.023439154028892517,0.033710235729813576,0.43820189449927693,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,0.6010213510655347,1.6252523475653171,0.02171625941991806,0.0356089323759079,0.639736000908496,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
