instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,PS-PS64:status,PS-PS64:successful_repeats,PS-PS64:result,result_match,P32:matches_reference,PS-PS64:matches_reference,P32:wall_vs_Concorde_relative_change,PS-PS64:wall_vs_Concorde_relative_change,P32:wall_seconds,PS-PS64:wall_seconds,relative_change:wall_seconds,P32:branches,PS-PS64:branches,relative_change:branches,P32:nodes_expanded,PS-PS64:nodes_expanded,P32:pruned_by_bound,PS-PS64:pruned_by_bound,P32:pruned_infeasible,PS-PS64:pruned_infeasible,P32:root_potential_iterations,PS-PS64:root_potential_iterations,P32:search_node_potential_update_candidates,PS-PS64:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,PS-PS64:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,PS-PS64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,PS-PS64:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,PS-PS64:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,PS-PS64:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS64:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS64:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,PS-PS64:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS64:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,PS-PS64:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,PS-PS64:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS64:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,PS-PS64:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.6340954076313081,-0.41773946854541055,0.03277943842113018,0.05216161161661148,0.5912905812012699,29.0,48.0,0.6551724137931034,9.0,18.0,20.0,31.0,1.0,2.0,100.0,100.0,26.0,42.0,26.0,42.0,0.0,0.0,0.0,332.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.33553282791345895,-0.2776226091195334,0.015848398208618164,0.017229631543159485,0.08715286657740728,3.0,2.0,-0.33333333333333337,1.0,1.0,2.0,1.0,1.0,3.0,100.0,100.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.4686148999616049,-0.29111826278382813,0.021672306582331657,0.028911428526043892,0.33402637214508246,10.0,10.0,0.0,3.0,3.0,5.0,6.0,3.0,2.0,100.0,100.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,82.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.5577923517784235,-0.1372372003092569,0.02518514357507229,0.04913710802793503,0.9510354539558741,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.4132228188333388,-0.3740360574135003,0.053270261734724045,0.056827811524271965,0.06678303566939192,88.0,86.0,-0.022727272727272707,26.0,28.0,62.0,59.0,0.0,0.0,120.0,100.0,82.0,82.0,82.0,82.0,0.0,0.0,0.0,1173.0,734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.6582272780728018,-0.1840448389394953,0.008114388212561607,0.019372455775737762,1.3874203782545091,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1549.4207871066144,3995.643389165524,286.81496934965253,739.3458348196,1.5777798017169484,205952.0,842923.0,3.092812888440025,62812.0,266389.0,143850.0,582268.0,0.0,1.0,400.0,400.0,195829.0,794139.0,194122.0,793794.0,1707.0,345.0,-0.7978910369068541,3035962.0,7183071.0,0.0,0.0,0.0,0.0,1704.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,359.77294266837913,1679.6457379109356,120.09638583473861,559.4640149530023,3.6584583796124024,60352.0,421296.0,5.980646871686108,18041.0,133187.0,42505.0,290578.0,0.0,0.0,400.0,400.0,58114.0,402315.0,57710.0,402195.0,404.0,120.0,-0.7029702970297029,895438.0,3690548.0,0.0,0.0,0.0,0.0,404.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.3739902850894712,-0.10906304109058784,0.027104808017611504,0.038575559854507446,0.42319989241180966,3.0,5.0,0.6666666666666667,1.0,1.0,2.0,4.0,0.0,0.0,100.0,100.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,18.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.47175517465320815,-0.24042936652820068,0.0198777224868536,0.028582455590367317,0.43791400696285554,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.986287841349052,89.6118300061855,0.5506241209805012,7.141569368541241,11.969953724192441,695.0,11690.0,15.820143884892087,154.0,3795.0,548.0,7993.0,0.0,0.0,400.0,400.0,379.0,10699.0,352.0,10635.0,27.0,64.0,1.3703703703703702,5416.0,103185.0,0.0,0.0,0.0,0.0,26.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.0216468982411304,1.4516972664503758,0.11640988104045391,0.14117291569709778,0.21272278981230475,429.0,791.0,0.8438228438228439,135.0,263.0,298.0,533.0,51.0,32.0,400.0,400.0,411.0,730.0,411.0,730.0,0.0,0.0,0.0,6174.0,6467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,5.701447384056891,21.761494852824356,0.2606097925454378,0.8851622808724642,2.396504299500313,454.0,2612.0,4.753303964757709,135.0,869.0,328.0,1772.0,0.0,0.0,364.0,400.0,304.0,2382.0,295.0,2371.0,9.0,11.0,0.22222222222222232,5287.0,22675.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
