instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPS32:status,PPS32:successful_repeats,PPS32:result,hybrid-reverse:status,hybrid-reverse:successful_repeats,hybrid-reverse:result,result_match,PPS32:matches_reference,hybrid-reverse:matches_reference,PPS32:wall_vs_Concorde_relative_change,hybrid-reverse:wall_vs_Concorde_relative_change,PPS32:wall_seconds,hybrid-reverse:wall_seconds,relative_change:wall_seconds,PPS32:branches,hybrid-reverse:branches,relative_change:branches,PPS32:nodes_expanded,hybrid-reverse:nodes_expanded,PPS32:pruned_by_bound,hybrid-reverse:pruned_by_bound,PPS32:pruned_infeasible,hybrid-reverse:pruned_infeasible,PPS32:root_potential_iterations,hybrid-reverse:root_potential_iterations,PPS32:search_node_potential_update_candidates,hybrid-reverse:search_node_potential_update_candidates,PPS32:search_node_potential_updates_triggered,hybrid-reverse:search_node_potential_updates_triggered,PPS32:search_node_potential_updates_skipped_total,hybrid-reverse:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPS32:search_node_potential_iterations,hybrid-reverse:search_node_potential_iterations,PPS32:search_node_potential_updates_skipped_budget_exhausted,hybrid-reverse:search_node_potential_updates_skipped_budget_exhausted,PPS32:search_node_potential_updates_skipped_depth_interval,hybrid-reverse:search_node_potential_updates_skipped_depth_interval,PPS32:search_node_potential_updates_skipped_gap_above_maximum,hybrid-reverse:search_node_potential_updates_skipped_gap_above_maximum,PPS32:search_node_potential_updates_skipped_gap_below_minimum,hybrid-reverse:search_node_potential_updates_skipped_gap_below_minimum,PPS32:search_node_potential_updates_skipped_invalid_state,hybrid-reverse:search_node_potential_updates_skipped_invalid_state,PPS32:search_node_potential_updates_skipped_numerically_unsafe,hybrid-reverse:search_node_potential_updates_skipped_numerically_unsafe,PPS32:search_node_potential_updates_skipped_strategy_none,hybrid-reverse:search_node_potential_updates_skipped_strategy_none,PPS32:search_node_potential_updates_skipped_update_depth_zero,hybrid-reverse:search_node_potential_updates_skipped_update_depth_zero,PPS32:search_node_potential_updates_skipped_zero_iteration_limit,hybrid-reverse:search_node_potential_updates_skipped_zero_iteration_limit,PPS32:search_node_potential_updates_skipped_zero_violation,hybrid-reverse:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,4.429298292702024,8.578591819073024,0.42791002430021763,0.7549365013837814,0.7642412154713281,588.0,1014.0,0.7244897959183674,125.0,220.0,468.0,804.0,0.0,6.0,400.0,551.0,289.0,680.0,263.0,639.0,26.0,41.0,0.5769230769230769,4143.0,8715.0,0.0,0.0,0.0,0.0,26.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.926017851361832,1.1075257495452537,0.11090339720249176,0.12135493196547031,0.09423998747212159,411.0,440.0,0.07055961070559613,130.0,153.0,284.0,291.0,47.0,34.0,400.0,463.0,376.0,415.0,376.0,415.0,0.0,0.0,0.0,5604.0,6521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,3.144601468262344,37.29010938661277,0.16117767803370953,1.489048095420003,8.238550359985803,281.0,3192.0,10.359430604982206,76.0,1042.0,207.0,2174.0,0.0,0.0,364.0,433.0,156.0,2960.0,146.0,2949.0,10.0,11.0,0.10000000000000009,2603.0,47624.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.21964719187732584,-0.4021325810466725,0.023005302995443344,0.017625516280531883,-0.23384985261776536,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,83.97295417300754,2795.1123801405074,13.586690604686737,447.0824178662151,31.905909972807784,11187.0,393662.0,34.18923750782158,3401.0,118496.0,7829.0,276680.0,0.0,0.0,400.0,1074.0,10312.0,372490.0,10188.0,372451.0,124.0,39.0,-0.685483870967742,158636.0,5770837.0,0.0,0.0,0.0,0.0,123.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,243.05685701946433,196.0931948970312,82.01540363952518,66.23324634879827,-0.19242918513323148,66321.0,52994.0,-0.2009469097269342,22562.0,17789.0,44039.0,35382.0,1.0,0.0,400.0,604.0,61154.0,48916.0,61147.0,48910.0,7.0,6.0,-0.1428571428571429,993404.0,797177.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.1645070254310621,0.33742704214027297,0.02113865688443184,0.02427757903933525,0.14849203391040233,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.1728089895994125,1.0518258155778994,0.00999007560312748,0.01747760735452175,0.7494970057133736,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.16011356035241942,-0.050506590183434286,0.011392222717404366,0.012878932058811188,0.13050213099639585,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.3415296085837864,1.5695884776412097,0.25710921362042427,0.19771330803632736,-0.231014302240387,1459.0,1070.0,-0.2666209732693626,464.0,319.0,1000.0,754.0,0.0,0.0,334.0,311.0,1309.0,976.0,1302.0,938.0,7.0,38.0,4.428571428571429,20272.0,13263.0,0.0,0.0,0.0,0.0,7.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,16.20577302574643,17.76393592113785,3.4661817755550146,3.7800808269530535,0.09056047020147306,5725.0,6120.0,0.06899563318777302,2044.0,2184.0,3716.0,3985.0,1.0,0.0,319.0,357.0,5199.0,5605.0,5199.0,5605.0,0.0,0.0,0.0,90151.0,96224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.005511060351397035,0.35081802064409806,0.031082401052117348,0.042219340801239014,0.35830371438962594,17.0,10.0,-0.4117647058823529,5.0,5.0,12.0,5.0,0.0,4.0,100.0,152.0,12.0,9.0,12.0,9.0,0.0,0.0,0.0,132.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1005.4477222956513,335.6753721552581,93.64314551092684,31.32536361925304,-0.6654815101699268,406316.0,45495.0,-0.8880304984297935,74906.0,11672.0,331519.0,33899.0,0.0,2.0,320.0,372.0,384541.0,42194.0,323065.0,40654.0,61476.0,1540.0,-0.9749495738174246,1691616.0,510939.0,0.0,0.0,0.0,0.0,61476.0,1540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,421.36568579607,263.3725958950781,198.82158593833447,124.44898002408445,-0.3740670589828061,99892.0,66191.0,-0.3373743643134586,31982.0,19992.0,68244.0,46387.0,0.0,0.0,400.0,612.0,95579.0,62856.0,95571.0,62854.0,8.0,2.0,-0.75,1588549.0,1013266.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,142.63743482080528,438.03093355030956,26.337586546316743,80.50140427052975,2.0565216797280046,31476.0,106369.0,2.3793684076756896,10881.0,34309.0,20709.0,72354.0,0.0,0.0,372.0,396.0,29785.0,99518.0,29779.0,99492.0,6.0,26.0,3.333333333333333,505592.0,1604312.0,0.0,0.0,0.0,0.0,6.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,122.79556508601951,114.3104180624846,14.760841635987163,13.749109823256731,-0.06854160742865867,20167.0,17141.0,-0.15004710665939403,5927.0,5225.0,14267.0,11959.0,0.0,0.0,301.0,370.0,18665.0,16129.0,18652.0,16114.0,13.0,15.0,0.15384615384615374,273167.0,240582.0,0.0,0.0,0.0,0.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,115.32565362678189,392.87386311765937,16.38888542726636,55.49208978563547,2.3859587359926686,18395.0,81423.0,3.426365860288122,6015.0,19531.0,12441.0,62069.0,0.0,0.0,378.0,458.0,17371.0,76711.0,17077.0,71953.0,294.0,4758.0,15.183673469387756,278508.0,905057.0,0.0,0.0,0.0,0.0,292.0,4758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,391.1368493653687,627.4517097258965,92.29826802201569,147.92031005769968,0.6026336487962765,615321.0,160029.0,-0.7399259898492007,112258.0,50347.0,503226.0,110202.0,1332.0,1.0,729.0,445.0,566844.0,152471.0,475903.0,152415.0,90941.0,56.0,-0.9993842161401348,2330217.0,2363092.0,0.0,0.0,0.0,0.0,90941.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.4520114000022737,1.4424436611960503,0.19805255718529224,0.19727975688874722,-0.003901996053613299,73.0,54.0,-0.26027397260273977,26.0,14.0,47.0,40.0,0.0,0.0,333.0,356.0,41.0,26.0,41.0,26.0,0.0,0.0,0.0,750.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,7.995223313723562,7.729888952781737,3.9423168748617172,3.8260293640196323,-0.029497251117380996,3662.0,3262.0,-0.10922992900054618,1322.0,1150.0,2350.0,2120.0,0.0,0.0,341.0,393.0,3387.0,3039.0,3387.0,3039.0,0.0,0.0,0.0,55799.0,49307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,1446.9303452383156,11.870175566228834,361.74539766833186,3.2154355999082327,-0.9911113296240017,212872.0,1951.0,-0.9908348679018377,94058.0,825.0,129680.0,1190.0,119.0,0.0,400.0,288.0,183938.0,1786.0,183918.0,1786.0,20.0,0.0,-1.0,3865194.0,35177.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,3470.6548863643025,1702.3521627474686,746.8951494973153,366.4608118850738,-0.5093544092076192,2722053.0,1061614.0,-0.6099951029608901,684959.0,297463.0,2040844.0,766558.0,90.0,116.0,361.0,340.0,2529417.0,983550.0,2296577.0,933941.0,232840.0,49609.0,-0.7869395292904999,25060203.0,12361647.0,0.0,0.0,0.0,0.0,232840.0,49608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rat195.tsp,ok,2.86149631254375,2323.0,3.0,ok,1,2323.0,ok,1,2323.0,True,True,True,513.8967226128898,261.17197682335285,1473.3750730976462,750.2041449323297,-0.4908260913121809,403330.0,217376.0,-0.46104678551062406,142677.0,76795.0,263092.0,141958.0,7.0,6.0,400.0,597.0,382670.0,206043.0,382660.0,206029.0,10.0,14.0,0.3999999999999999,6972415.0,3773436.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.7363971630869699,-0.6960704087951579,0.30596367456018925,0.3527709171175957,0.15298300566134193,285.0,375.0,0.3157894736842106,83.0,110.0,205.0,266.0,0.0,0.0,400.0,486.0,207.0,311.0,207.0,308.0,0.0,3.0,,3397.0,4710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,4.644120119495289,2.2637188969391104,0.44301651418209076,0.2561748046427965,-0.42174885937208584,372.0,152.0,-0.5913978494623655,113.0,32.0,259.0,120.0,0.0,0.0,400.0,497.0,279.0,60.0,268.0,40.0,11.0,20.0,0.8181818181818181,4563.0,549.0,0.0,0.0,0.0,0.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
st70.tsp,ok,0.07140777260065079,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,5.0715425165342625,0.6465460196997368,0.43355532735586166,0.11757618375122547,-0.7288092745433639,995.0,146.0,-0.8532663316582915,295.0,48.0,706.0,100.0,0.0,0.0,361.0,358.0,883.0,98.0,881.0,88.0,2.0,10.0,4.0,14706.0,1718.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiss42.tsp,ok,0.03386518731713295,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-0.03371377322353364,0.19408886107510637,0.03272346407175064,0.04043804295361042,0.23575067923568604,6.0,8.0,0.33333333333333326,3.0,3.0,3.0,4.0,5.0,4.0,100.0,139.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,64.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u159.tsp,ok,0.12093745544552803,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,2120.85030326454,215.38966871233373,256.61117651313543,26.169615918770432,-0.8980184095082434,159827.0,14593.0,-0.9086950264974003,50829.0,4646.0,109516.0,9997.0,0.0,0.0,400.0,456.0,149167.0,13291.0,149137.0,13249.0,30.0,42.0,0.3999999999999999,2365498.0,213321.0,0.0,0.0,0.0,0.0,30.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ulysses16.tsp,ok,0.03193540312349796,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-0.12640099797091764,-0.40339969422325994,0.02789873629808426,0.019052671268582344,-0.31707762441230547,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.04551754333078861,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-0.3719896984271216,-0.6755721487602122,0.028585486114025116,0.014767158776521683,-0.4834036154705671,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
