repeat,configuration,instance,lower_bound,upper_bound,instance_wall_seconds,root_ascent_seconds,root_potential_iterations
1,replace,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10602.139999958954,10628.0,0.001183166,1.5e-06,0.0
1,polyak8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10602.139999958954,10628.0,0.001332375,0.000306875,8.0
1,polyak16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10602.139999958954,10628.0,0.001605542,0.000586709,16.0
1,polyak32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10602.139999958954,10628.0,0.002157708,0.00113725,32.0
1,polyak64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10602.64383331393,10628.0,0.00346975,0.002457041,64.0
1,polyak128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10603.466700033536,10628.0,0.0035675,0.002502292,100.0
1,helsgaun16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10602.139999958954,10628.0,0.001384042,0.000353917,16.0
1,helsgaun32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10602.939999958955,10628.0,0.001592792,0.000582166,32.0
1,helsgaun64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10603.734999958953,10628.0,0.001841417,0.000842792,54.0
1,hybrid-reverse16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10602.139999958954,10628.0,0.0032865,0.001578625,32.0
1,hybrid-reverse32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10602.939999958955,10628.0,0.002698958,0.0016685,64.0
1,hybrid-reverse64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10603.734999958953,10628.0,0.003763792,0.002751833,118.0
1,local-full,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10599.725433047108,10628.0,0.007181417,0.0062055,214.0
